ptype,pattern,decoded,rows,distinct_authors,tier,pct_of_total
9,LHLLH,OL CH EL AL NH,345069,150,solid,11.4772
25,HHLLH,OH CH EL AL NH,273049,119,solid,9.0818
8,LHLLL,OL CH EL AL NL,197647,116,solid,6.5738
1,LLLLH,OL CL EL AL NH,181124,114,solid,6.0243
10,LHLHL,OL CH EL AH NL,270927,79,solid,9.0112
0,LLLLL,OL CL EL AL NL,159137,79,solid,5.293
12,LHHLL,OL CH EH AL NL,102199,74,solid,3.3992
24,HHLLL,OH CH EL AL NL,120763,63,solid,4.0166
11,LHLHH,OL CH EL AH NH,123675,58,solid,4.1135
4,LLHLL,OL CL EH AL NL,86106,58,solid,2.8639
28,HHHLL,OH CH EH AL NL,77420,56,solid,2.575
14,LHHHL,OL CH EH AH NL,67423,52,solid,2.2425
26,HHLHL,OH CH EL AH NL,82449,47,solid,2.7423
17,HLLLH,OH CL EL AL NH,125443,47,solid,4.1723
30,HHHHL,OH CH EH AH NL,89461,47,solid,2.9755
13,LHHLH,OL CH EH AL NH,64344,44,solid,2.1401
29,HHHLH,OH CH EH AL NH,85323,40,solid,2.8379
27,HHLHH,OH CH EL AH NH,38458,39,solid,1.2791
6,LLHHL,OL CL EH AH NL,78856,35,solid,2.6228
31,HHHHH,OH CH EH AH NH,93178,31,solid,3.0992
20,HLHLL,OH CL EH AL NL,58662,30,solid,1.9511
16,HLLLL,OH CL EL AL NL,60871,29,solid,2.0246
5,LLHLH,OL CL EH AL NH,26428,27,solid,0.879
2,LLLHL,OL CL EL AH NL,54646,26,solid,1.8176
21,HLHLH,OH CL EH AL NH,27804,19,asterisk,0.9248
18,HLLHL,OH CL EL AH NL,16183,17,asterisk,0.5383
3,LLLHH,OL CL EL AH NH,36335,16,asterisk,1.2085
15,LHHHH,OL CH EH AH NH,19430,14,asterisk,0.6463
22,HLHHL,OH CL EH AH NL,15075,8,floor,0.5014
19,HLLHH,OH CL EL AH NH,28097,7,floor,0.9345
23,HLHHH,OH CL EH AH NH,486,5,floor,0.0162
7,LLHHH,OL CL EH AH NH,498,2,floor,0.0166
