classifier,prompt_group,pooling_rule,layer,balanced_accuracy,macro_f1,mean_classification_margin,test_samples,selected_C,permutation_sd,permutations
nearest_centroid,ipip_stems,final_token,0,1.0,1.0,0.0005045064608566463,960,,,
regularized_logistic,ipip_stems,final_token,0,1.0,1.0,,960,0.01,,
shrinkage_lda,ipip_stems,final_token,0,1.0,1.0,,960,,,
nearest_centroid_label_permutation,ipip_stems,final_token,0,0.0303125,,,960,,0.030121822965252284,100.0
nearest_centroid,ipip_stems,final_token,1,1.0,1.0,0.0013351230882108212,960,,,
nearest_centroid,ipip_stems,final_token,2,0.9989583333333334,0.9989580439010837,0.003992985002696514,960,,,
nearest_centroid,ipip_stems,final_token,3,0.9927083333333333,0.9926673685963827,0.0073388246819376945,960,,,
nearest_centroid,ipip_stems,final_token,4,0.9697916666666668,0.9699885701816764,0.012379547581076622,960,,,
nearest_centroid,ipip_stems,final_token,5,0.9,0.9011155031663057,0.014673689380288124,960,,,
nearest_centroid,ipip_stems,final_token,6,0.8364583333333333,0.8387878851507174,0.016670260578393936,960,,,
nearest_centroid,ipip_stems,final_token,7,0.7927083333333333,0.7994784829093646,0.022104067727923393,960,,,
nearest_centroid,ipip_stems,final_token,8,0.7770833333333333,0.783051507382541,0.026278803125023842,960,,,
regularized_logistic,ipip_stems,final_token,8,0.8729166666666667,0.873269963355092,,960,0.1,,
shrinkage_lda,ipip_stems,final_token,8,0.8572916666666668,0.8578479273522577,,960,,,
nearest_centroid_label_permutation,ipip_stems,final_token,8,0.033427083333333336,,,960,,0.02461557516692655,100.0
nearest_centroid,ipip_stems,final_token,9,0.76875,0.7775523997394056,0.03511707857251167,960,,,
nearest_centroid,ipip_stems,final_token,10,0.8010416666666667,0.8071337334904173,0.03868788108229637,960,,,
nearest_centroid,ipip_stems,final_token,11,0.771875,0.7767161687863031,0.043010830879211426,960,,,
nearest_centroid,ipip_stems,final_token,12,0.7749999999999999,0.7799469419539602,0.053156327456235886,960,,,
nearest_centroid,ipip_stems,final_token,13,0.7614583333333333,0.7665024818053617,0.0652608796954155,960,,,
nearest_centroid,ipip_stems,final_token,14,0.7260416666666667,0.7355241947994728,0.07086876034736633,960,,,
nearest_centroid,ipip_stems,final_token,15,0.746875,0.7556782810922676,0.0895356684923172,960,,,
nearest_centroid,ipip_stems,final_token,16,0.746875,0.7570279266088469,0.11487952619791031,960,,,
