prompt_group,pooling_rule,layer,ptype,profile,common_drift_projection,residual_direction_norm
ipip_stems,final_token,0,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,0.13372888,0.10335512
ipip_stems,final_token,0,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,0.14402252,0.110043146
ipip_stems,final_token,0,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,0.12996659,0.102988966
ipip_stems,final_token,0,3,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,0.11023091,0.10345441
ipip_stems,final_token,0,4,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,0.13189746,0.118371986
ipip_stems,final_token,0,5,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,0.13340333,0.118948855
ipip_stems,final_token,0,6,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,0.14318298,0.12462859
ipip_stems,final_token,0,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,0.02153788,0.041981652
ipip_stems,final_token,0,8,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,0.16438627,0.11921727
ipip_stems,final_token,0,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,0.15249051,0.12987024
ipip_stems,final_token,0,10,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,0.1653858,0.12111915
ipip_stems,final_token,0,11,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,0.17671761,0.123977594
ipip_stems,final_token,0,12,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,0.1368262,0.095588535
ipip_stems,final_token,0,13,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,0.120476834,0.09821437
ipip_stems,final_token,0,14,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,0.11968137,0.105194785
ipip_stems,final_token,0,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,0.1012681,0.08216652
ipip_stems,final_token,0,16,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,0.13450456,0.1110741
ipip_stems,final_token,0,17,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,0.15977432,0.16052717
ipip_stems,final_token,0,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,0.093842395,0.07726883
ipip_stems,final_token,0,19,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,0.08298779,0.072948046
ipip_stems,final_token,0,20,Openness high; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,0.12168658,0.11057541
ipip_stems,final_token,0,21,Openness high; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,0.12749647,0.1462863
ipip_stems,final_token,0,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,0.10201729,0.11410946
ipip_stems,final_token,0,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,0.024453536,0.04366251
ipip_stems,final_token,0,24,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,0.12918429,0.11472107
