representation,prompt_group,pooling_rule,ptype,profile,layer,effect_l2_rms_over_prompts
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,0,0.18052048981189728
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,1,0.3651421070098877
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,2,0.7413678765296936
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,3,1.421245813369751
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,4,2.0085532665252686
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,5,2.572317361831665
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,6,3.092642068862915
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,7,3.696802854537964
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,8,4.417360305786133
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,9,4.966947555541992
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,10,5.356242656707764
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,11,5.519904136657715
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,12,6.150845050811768
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,13,6.627152442932129
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,14,7.1036834716796875
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,15,7.768215656280518
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,16,9.081035614013672
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,17,10.165048599243164
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,18,11.23326587677002
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,19,12.129915237426758
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,20,13.28171443939209
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,21,15.052698135375977
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,22,16.381195068359375
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,23,17.943702697753906
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,24,19.237266540527344
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,25,20.727670669555664
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,26,22.455280303955078
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,27,24.2370662689209
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,28,26.572391510009766
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,29,30.258935928344727
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,30,36.23075485229492
activation,ipip_stems,final_token,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,31,59.24614334106445
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,0,0.19602784514427185
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,1,0.43117213249206543
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,2,0.7485485076904297
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,3,1.3600382804870605
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,4,1.992518663406372
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,5,2.586122751235962
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,6,3.0841317176818848
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,7,3.6882030963897705
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,8,4.263400554656982
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,9,4.699047088623047
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,10,5.102564334869385
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,11,5.362290382385254
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,12,6.08681583404541
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,13,6.5487236976623535
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,14,6.901639938354492
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,15,7.371338367462158
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,16,8.550567626953125
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,17,9.640199661254883
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,18,10.696372985839844
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,19,11.483296394348145
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,20,12.51247501373291
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,21,14.035780906677246
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,22,15.303762435913086
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,23,16.905292510986328
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,24,18.447803497314453
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,25,19.938873291015625
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,26,21.79027557373047
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,27,23.65033721923828
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,28,25.77587127685547
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,29,29.1931209564209
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,30,35.21010971069336
activation,ipip_stems,final_token,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,31,58.96220779418945
activation,ipip_stems,final_token,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,0,0.17451751232147217
activation,ipip_stems,final_token,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,1,0.39251524209976196
activation,ipip_stems,final_token,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,2,0.6922469139099121
activation,ipip_stems,final_token,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,3,1.2674311399459839
activation,ipip_stems,final_token,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,4,1.890523076057434
activation,ipip_stems,final_token,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,5,2.4050796031951904
activation,ipip_stems,final_token,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,6,2.9722800254821777
activation,ipip_stems,final_token,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,7,3.4752416610717773
activation,ipip_stems,final_token,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,8,4.03926944732666
activation,ipip_stems,final_token,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,9,4.457406044006348
activation,ipip_stems,final_token,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,10,4.799917221069336
activation,ipip_stems,final_token,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,11,5.1046223640441895
activation,ipip_stems,final_token,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,12,5.79517936706543
activation,ipip_stems,final_token,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,13,6.3053693771362305
activation,ipip_stems,final_token,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,14,6.6499786376953125
activation,ipip_stems,final_token,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,15,7.275643825531006
activation,ipip_stems,final_token,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,16,8.638273239135742
activation,ipip_stems,final_token,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,17,9.779935836791992
activation,ipip_stems,final_token,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,18,10.83868408203125
activation,ipip_stems,final_token,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,19,11.6846342086792
