representation,prompt_group,pooling_rule,layer,factorial_model,exposure_covariates_added,profile_disjoint_folds,reconstruction_rmse,explained_variance
activation,ipip_stems,final_token,0,main_effects,False,8,0.0020164532752260295,-0.23936701761124612
activation,ipip_stems,final_token,0,main_effects,True,8,0.0022506263646319843,-0.5439399763851562
activation,ipip_stems,final_token,0,main_plus_two_way,False,8,0.0026805871044196148,-1.1901983940718286
activation,ipip_stems,final_token,0,main_plus_two_way,True,8,0.0035919157866936458,-2.9325649141121697
activation,ipip_stems,final_token,0,through_third_order,False,8,0.005773665851584269,-9.160776522736425
activation,ipip_stems,final_token,0,through_third_order,True,8,0.01630718869013695,-80.0553715889258
activation,ipip_stems,final_token,1,main_effects,False,8,0.003296304978944902,-0.22820677921500443
activation,ipip_stems,final_token,1,main_effects,True,8,0.0036258029498510568,-0.48602156949910036
activation,ipip_stems,final_token,1,main_plus_two_way,False,8,0.004318249320182104,-1.1078133166303692
activation,ipip_stems,final_token,1,main_plus_two_way,True,8,0.005689438781722492,-2.6589424176643894
activation,ipip_stems,final_token,1,through_third_order,False,8,0.009175704860706846,-8.516901822750986
activation,ipip_stems,final_token,1,through_third_order,True,8,0.02568632447063218,-73.57970236873183
activation,ipip_stems,final_token,2,main_effects,False,8,0.005716905107665848,-0.22726302171660873
activation,ipip_stems,final_token,2,main_effects,True,8,0.006233195829847994,-0.45893930428958973
activation,ipip_stems,final_token,2,main_plus_two_way,False,8,0.007573684123574001,-1.1539224237991785
activation,ipip_stems,final_token,2,main_plus_two_way,True,8,0.009802236806774849,-2.6079961209956593
activation,ipip_stems,final_token,2,through_third_order,False,8,0.016003658618826563,-8.617323814339256
activation,ipip_stems,final_token,2,through_third_order,True,8,0.044062444209990635,-71.9042506648927
activation,ipip_stems,final_token,3,main_effects,False,8,0.008465609889739323,-0.23268820121239808
activation,ipip_stems,final_token,3,main_effects,True,8,0.009085792119535294,-0.4199149379711795
activation,ipip_stems,final_token,3,main_plus_two_way,False,8,0.011045492570189285,-1.0984900374805293
activation,ipip_stems,final_token,3,main_plus_two_way,True,8,0.014015115065807979,-2.3785478290125344
activation,ipip_stems,final_token,3,through_third_order,False,8,0.02424223370750957,-9.108390327220912
activation,ipip_stems,final_token,3,through_third_order,True,8,0.06329548045255662,-67.90998217767944
activation,ipip_stems,final_token,4,main_effects,False,8,0.011013488453208736,-0.2422342467423111
activation,ipip_stems,final_token,4,main_effects,True,8,0.01187139257039085,-0.4433013899058993
activation,ipip_stems,final_token,4,main_plus_two_way,False,8,0.014375962327753056,-1.1165452045533386
activation,ipip_stems,final_token,4,main_plus_two_way,True,8,0.018383641293228285,-2.4611209098242512
activation,ipip_stems,final_token,4,through_third_order,False,8,0.0311722559288027,-8.951537016634537
activation,ipip_stems,final_token,4,through_third_order,True,8,0.08606208291981846,-74.85381046709477
activation,ipip_stems,final_token,5,main_effects,False,8,0.012989474166068535,-0.2381860058512566
activation,ipip_stems,final_token,5,main_effects,True,8,0.013867759793231951,-0.41128709815086806
activation,ipip_stems,final_token,5,main_plus_two_way,False,8,0.01691343765102169,-1.0992614169078525
activation,ipip_stems,final_token,5,main_plus_two_way,True,8,0.021443787933674293,-2.374471445515175
activation,ipip_stems,final_token,5,through_third_order,False,8,0.0367490037068047,-8.910461740553629
activation,ipip_stems,final_token,5,through_third_order,True,8,0.10089112970492668,-73.6979563456804
activation,ipip_stems,final_token,6,main_effects,False,8,0.014813036846536901,-0.2351650462325392
activation,ipip_stems,final_token,6,main_effects,True,8,0.015740123764028877,-0.39461095588572226
activation,ipip_stems,final_token,6,main_plus_two_way,False,8,0.01934999627969342,-1.1076503191505127
activation,ipip_stems,final_token,6,main_plus_two_way,True,8,0.02448907077456982,-2.3758364616862964
activation,ipip_stems,final_token,6,through_third_order,False,8,0.041271856182168845,-8.588370120923967
activation,ipip_stems,final_token,6,through_third_order,True,8,0.11532189412058291,-73.86180956422177
activation,ipip_stems,final_token,7,main_effects,False,8,0.017055503840096034,-0.239177728746228
activation,ipip_stems,final_token,7,main_effects,True,8,0.018115254816765954,-0.39795562898751125
activation,ipip_stems,final_token,7,main_plus_two_way,False,8,0.022329519099516665,-1.1240426468927898
activation,ipip_stems,final_token,7,main_plus_two_way,True,8,0.028203203614299024,-2.388452313071671
activation,ipip_stems,final_token,7,through_third_order,False,8,0.04753669378909705,-8.62636751857272
activation,ipip_stems,final_token,7,through_third_order,True,8,0.13577858503290957,-77.53568741553728
activation,ipip_stems,final_token,8,main_effects,False,8,0.019226689169357235,-0.2275566886977356
activation,ipip_stems,final_token,8,main_effects,True,8,0.02028640181860363,-0.3666037034569931
activation,ipip_stems,final_token,8,main_plus_two_way,False,8,0.025348914907280074,-1.1337881233821987
activation,ipip_stems,final_token,8,main_plus_two_way,True,8,0.03208952816963127,-2.419473239929576
activation,ipip_stems,final_token,8,through_third_order,False,8,0.053688889815766076,-8.571971432542867
activation,ipip_stems,final_token,8,through_third_order,True,8,0.1528661919735534,-76.59887777439506
activation,ipip_stems,final_token,9,main_effects,False,8,0.02142386399391732,-0.2173571326102126
activation,ipip_stems,final_token,9,main_effects,True,8,0.02293330897837864,-0.3949410154187665
activation,ipip_stems,final_token,9,main_plus_two_way,False,8,0.028344309030346734,-1.1308562274552707
activation,ipip_stems,final_token,9,main_plus_two_way,True,8,0.03613046255835037,-2.4623378439369525
activation,ipip_stems,final_token,9,through_third_order,False,8,0.06112289330877056,-8.90900863763807
activation,ipip_stems,final_token,9,through_third_order,True,8,0.17377659498399634,-79.09491891065818
activation,ipip_stems,final_token,10,main_effects,False,8,0.022555112403521368,-0.2112337977312262
activation,ipip_stems,final_token,10,main_effects,True,8,0.024253532884566723,-0.40051578182043635
activation,ipip_stems,final_token,10,main_plus_two_way,False,8,0.02971034936196792,-1.101616679315078
activation,ipip_stems,final_token,10,main_plus_two_way,True,8,0.038295960686996,-2.4917563087390433
activation,ipip_stems,final_token,10,through_third_order,False,8,0.06347224806595006,-8.591924465619847
activation,ipip_stems,final_token,10,through_third_order,True,8,0.17764528111929062,-74.1355276035787
activation,ipip_stems,final_token,11,main_effects,False,8,0.023919251163940853,-0.21065775117002072
activation,ipip_stems,final_token,11,main_effects,True,8,0.02588348765627877,-0.4176591263522236
activation,ipip_stems,final_token,11,main_plus_two_way,False,8,0.031542885260162155,-1.1053730575949152
activation,ipip_stems,final_token,11,main_plus_two_way,True,8,0.04058632181306776,-2.4856647770008338
activation,ipip_stems,final_token,11,through_third_order,False,8,0.06714096517824855,-8.538967933712176
activation,ipip_stems,final_token,11,through_third_order,True,8,0.1835594396186976,-70.298382105136
activation,ipip_stems,final_token,12,main_effects,False,8,0.0265334190545325,-0.2088796671968094
activation,ipip_stems,final_token,12,main_effects,True,8,0.02869604589152216,-0.4139718298909112
activation,ipip_stems,final_token,12,main_plus_two_way,False,8,0.03519992503673374,-1.127551678741483
activation,ipip_stems,final_token,12,main_plus_two_way,True,8,0.04553128910009682,-2.5597256965691444
activation,ipip_stems,final_token,12,through_third_order,False,8,0.07426031804824791,-8.469133744455387
activation,ipip_stems,final_token,12,through_third_order,True,8,0.20317832289681673,-69.8845167939646
activation,ipip_stems,final_token,13,main_effects,False,8,0.02864844435839217,-0.20612548535278785
activation,ipip_stems,final_token,13,main_effects,True,8,0.03125323883054856,-0.4354248720081946
activation,ipip_stems,final_token,13,main_plus_two_way,False,8,0.0378831091929853,-1.1090245598773492
activation,ipip_stems,final_token,13,main_plus_two_way,True,8,0.0488400828275922,-2.5054452559989198
activation,ipip_stems,final_token,13,through_third_order,False,8,0.0797115609719908,-8.337552000490787
activation,ipip_stems,final_token,13,through_third_order,True,8,0.22445609676254485,-73.03775106321939
activation,ipip_stems,final_token,14,main_effects,False,8,0.029712943479427323,-0.21504781486494529
activation,ipip_stems,final_token,14,main_effects,True,8,0.03268019099729765,-0.46984380815025517
activation,ipip_stems,final_token,14,main_plus_two_way,False,8,0.03920259484819711,-1.1151035957086308
activation,ipip_stems,final_token,14,main_plus_two_way,True,8,0.05066737508959351,-2.5331235622733654
activation,ipip_stems,final_token,14,through_third_order,False,8,0.08297177623822044,-8.474641582861771
activation,ipip_stems,final_token,14,through_third_order,True,8,0.23519113251603085,-75.1279091053172
activation,ipip_stems,final_token,15,main_effects,False,8,0.03281334779125877,-0.21829221960138123
activation,ipip_stems,final_token,15,main_effects,True,8,0.03636994449722768,-0.49670311983736926
activation,ipip_stems,final_token,15,main_plus_two_way,False,8,0.04325219506389792,-1.1167359863905904
activation,ipip_stems,final_token,15,main_plus_two_way,True,8,0.05610822909179694,-2.562078699992342
activation,ipip_stems,final_token,15,through_third_order,False,8,0.0912141587806518,-8.414015343029044
activation,ipip_stems,final_token,15,through_third_order,True,8,0.2586413457227248,-74.69135673896461
activation,ipip_stems,final_token,16,main_effects,False,8,0.037780510965391055,-0.21325126934756722
activation,ipip_stems,final_token,16,main_effects,True,8,0.04198047959054107,-0.4979933700808441
activation,ipip_stems,final_token,16,main_plus_two_way,False,8,0.04998986816654503,-1.1241201689747582
activation,ipip_stems,final_token,16,main_plus_two_way,True,8,0.0646507261997524,-2.552727640676421
activation,ipip_stems,final_token,16,through_third_order,False,8,0.10482329701431949,-8.33965277973436
activation,ipip_stems,final_token,16,through_third_order,True,8,0.2973888292767027,-74.17343617136545
activation,ipip_stems,final_token,17,main_effects,False,8,0.04387348803637176,-0.21541182938552472
activation,ipip_stems,final_token,17,main_effects,True,8,0.048925746208814666,-0.5114509192309491
activation,ipip_stems,final_token,17,main_plus_two_way,False,8,0.05837891517429393,-1.151945031167649
activation,ipip_stems,final_token,17,main_plus_two_way,True,8,0.07517705045758462,-2.5685328367025724
activation,ipip_stems,final_token,17,through_third_order,False,8,0.12096043192241293,-8.23859205502193
activation,ipip_stems,final_token,17,through_third_order,True,8,0.3428451399306633,-73.21900495797999
activation,ipip_stems,final_token,18,main_effects,False,8,0.04817483969730169,-0.21512146641304541
activation,ipip_stems,final_token,18,main_effects,True,8,0.053850859740369295,-0.5183238687064018
activation,ipip_stems,final_token,18,main_plus_two_way,False,8,0.06434909175945551,-1.1680234725027794
activation,ipip_stems,final_token,18,main_plus_two_way,True,8,0.08264793551642914,-2.5763758713772074
activation,ipip_stems,final_token,18,through_third_order,False,8,0.1328061033955129,-8.234538700245515
activation,ipip_stems,final_token,18,through_third_order,True,8,0.36810972192991315,-69.946947035135
activation,ipip_stems,final_token,19,main_effects,False,8,0.05224094465195263,-0.21482094314224653
activation,ipip_stems,final_token,19,main_effects,True,8,0.05840718511794466,-0.5185279152782634
activation,ipip_stems,final_token,19,main_plus_two_way,False,8,0.0696186710746528,-1.157454698288272
activation,ipip_stems,final_token,19,main_plus_two_way,True,8,0.08923191373118895,-2.5443013645951558
activation,ipip_stems,final_token,19,through_third_order,False,8,0.14548754207342904,-8.421972687661075
activation,ipip_stems,final_token,19,through_third_order,True,8,0.3955437972762221,-68.64330685293741
activation,ipip_stems,final_token,20,main_effects,False,8,0.05777221104933892,-0.21117598241199653
activation,ipip_stems,final_token,20,main_effects,True,8,0.06442518376126044,-0.5061929272255414
activation,ipip_stems,final_token,20,main_plus_two_way,False,8,0.07654269168672438,-1.126065954075857
activation,ipip_stems,final_token,20,main_plus_two_way,True,8,0.09848768593780015,-2.519922802215432
activation,ipip_stems,final_token,20,through_third_order,False,8,0.1607756822491146,-8.380154557272443
activation,ipip_stems,final_token,20,through_third_order,True,8,0.4378454119283038,-68.56821790306694
activation,ipip_stems,final_token,21,main_effects,False,8,0.06735270559413328,-0.21174452005849798
activation,ipip_stems,final_token,21,main_effects,True,8,0.07535652679985094,-0.5168502898388034
activation,ipip_stems,final_token,21,main_plus_two_way,False,8,0.08875853119862609,-1.1043655595930262
activation,ipip_stems,final_token,21,main_plus_two_way,True,8,0.11474462340576745,-2.5169456891224877
activation,ipip_stems,final_token,21,through_third_order,False,8,0.1871802266506839,-8.358816013456687
