representation,prompt_group,pooling_rule,layer,trait,matched_pairs,mean_pairwise_cosine,median_pairwise_cosine,split_half_cosine,random_pair_mean_cosine,random_pair_sd,agreement_above_random
activation,ipip_stems,final_token,0,O,16,0.002725626712027584,-0.002845372993873689,0.04556549118166517,-0.00033485611467749517,0.008092764626133198,0.003060482826705079
activation,ipip_stems,final_token,0,C,16,0.04425034056607055,0.034502562281287355,0.24754328768522202,-7.900727963132925e-05,0.008644590932114601,0.04432934784570188
activation,ipip_stems,final_token,0,E,16,0.02239230369373935,0.012106984213561817,0.09333255534660015,0.0029384515760529297,0.010934707719695375,0.01945385211768642
activation,ipip_stems,final_token,0,A,16,0.018199809673494476,0.0008564463233261251,0.13664296322980488,0.0007166405454402892,0.011869316694262378,0.01748316912805419
activation,ipip_stems,final_token,0,N,16,0.008511588069881742,0.0015561106072435416,0.08364641632963625,0.0009331259116459832,0.009437659450817157,0.007578462158235758
activation,ipip_stems,final_token,1,O,16,0.0007015086254552628,0.004116261431188116,-0.06087910774766233,-0.0011509495232596306,0.00976764280262363,0.0018524581487148932
activation,ipip_stems,final_token,1,C,16,0.043733533117495636,0.014968872964852714,0.2311180971175305,0.00017681228913472862,0.011645128919251731,0.04355672082836091
activation,ipip_stems,final_token,1,E,16,0.024622151400597658,0.016212229164159007,0.1822802696976962,0.0008266974409053587,0.01218710975122245,0.0237954539596923
activation,ipip_stems,final_token,1,A,16,0.02786630968159447,0.011559129359507751,0.24347619730141506,0.00039275434255541366,0.01036096495848123,0.027473555339039057
activation,ipip_stems,final_token,1,N,16,0.0131868762474547,-0.0002552663094076091,0.15978655921954962,-0.0004628321817708923,0.010561913221754345,0.01364970842922559
activation,ipip_stems,final_token,2,O,16,-0.0002133553589028887,0.0034015004084991,-0.04798322713229751,-0.0017910640091328533,0.006961935122614029,0.0015777086502299646
activation,ipip_stems,final_token,2,C,16,0.03264772455416187,0.00999287211845852,0.18802132313449985,0.00043413199727631284,0.009246545160134914,0.03221359255688556
activation,ipip_stems,final_token,2,E,16,0.014991958276250354,0.00881907991530443,0.13573179531457608,0.0004496728999627889,0.010255356559638051,0.014542285376287566
activation,ipip_stems,final_token,2,A,16,0.0450126483864682,0.024851334441642697,0.3832363204933465,0.00024306365156890111,0.008992817681452324,0.0447695847348993
activation,ipip_stems,final_token,2,N,16,0.00942371411706378,0.0002746625617205865,0.12011972689028161,-0.0009612666592366046,0.009138942447256942,0.010384980776300385
activation,ipip_stems,final_token,3,O,16,0.00445664105380685,0.01408906562861447,-0.03861527158951844,0.00014767911451643586,0.010124188752654131,0.004308961939290415
activation,ipip_stems,final_token,3,C,16,0.026557368929577895,0.021047537691848812,0.18384516683571467,0.0011897362302306829,0.010313927203764381,0.025367632699347213
activation,ipip_stems,final_token,3,E,16,0.012931441921089385,0.0020866440546952253,0.14943629662436728,-0.00046053381858377694,0.008959250712149433,0.013391975739673162
activation,ipip_stems,final_token,3,A,16,0.03730278239366891,0.01672463764730043,0.38146166570735157,0.00011458740085807858,0.009492817817289223,0.037188194992810834
activation,ipip_stems,final_token,3,N,16,0.01033794346736806,0.006268476294176475,0.11728839316080461,0.002626641079826323,0.011007975581203009,0.007711302387541736
activation,ipip_stems,final_token,4,O,16,0.003967012688747479,0.003412641819367932,-0.062949857082921,-0.00027175318760836955,0.008977207360961501,0.004238765876355848
activation,ipip_stems,final_token,4,C,16,0.021923801037746344,0.014643108997768921,0.13644111804307033,-0.0005975986661175309,0.009612994112952848,0.022521399703863874
activation,ipip_stems,final_token,4,E,16,0.0063576198098009825,0.002098269646097117,0.10697529983014893,0.0011805344479595239,0.010428764745537522,0.005177085361841458
activation,ipip_stems,final_token,4,A,16,0.03603490169029612,0.022079009102421082,0.31215407467937345,-0.0003302038453568295,0.008525940008425438,0.03636510553565295
activation,ipip_stems,final_token,4,N,16,0.01091035151402643,0.004017510802207581,0.10348146845818833,-0.0005218204943875585,0.009264580362893595,0.011432172008413987
activation,ipip_stems,final_token,5,O,16,0.0037510783861993756,-0.0014681318237267948,-0.08314637486048697,0.0011440812128190457,0.009374716506927557,0.00260699717338033
activation,ipip_stems,final_token,5,C,16,0.019074386160172412,0.003952851029439129,0.09684284452170956,4.783930554718655e-05,0.009593585912080043,0.019026546854625227
activation,ipip_stems,final_token,5,E,16,0.014103763415380522,0.007759193551671695,0.18149101142001026,-0.0005088233898666585,0.00980407045333285,0.01461258680524718
activation,ipip_stems,final_token,5,A,16,0.040603175198924285,0.03613072370108819,0.3450805893220681,0.0001925149203761143,0.009700931061199168,0.04041066027854817
activation,ipip_stems,final_token,5,N,16,0.006825913585524385,0.0038536213254776455,0.051351121865751075,0.0006734332020187469,0.009193512045094136,0.006152480383505639
activation,ipip_stems,final_token,6,O,16,0.004030660536451375,-3.982956643452877e-05,-0.09563768771919978,0.0011679285333992592,0.01030754550032733,0.0028627320030521156
activation,ipip_stems,final_token,6,C,16,0.01969621208939689,0.012672608578493387,0.09579705337237435,0.0003729066437817585,0.011767836750553484,0.01932330544561513
activation,ipip_stems,final_token,6,E,16,0.013357754152767243,0.008115161331378781,0.21541355156489783,0.0004200804129567235,0.009131631712039429,0.012937673739810519
activation,ipip_stems,final_token,6,A,16,0.05969626880610569,0.04562600449641983,0.43150475435612207,1.5222908546341282e-05,0.008562875484708615,0.05968104589755935
activation,ipip_stems,final_token,6,N,16,0.0022597553660620557,0.0031944489622778077,0.026638684134214916,-0.00019060584313821598,0.00982582491994007,0.0024503612092002715
activation,ipip_stems,final_token,7,O,16,0.0022115333043635785,0.005254033523836098,-0.10151545011621707,-0.00011863373794050714,0.009548758312365438,0.0023301670423040858
activation,ipip_stems,final_token,7,C,16,0.023844826427744673,0.008907238846163311,0.13656849143403588,0.0037699725507914523,0.01112881095205409,0.020074853876953222
activation,ipip_stems,final_token,7,E,16,0.006565531973481296,0.0016397135470096137,0.15906724030982988,0.0009763278975992912,0.00973325227249841,0.005589204075882005
activation,ipip_stems,final_token,7,A,16,0.06446368378231657,0.05876864455362514,0.44249836510747215,0.0006766218459717298,0.009088135124076769,0.06378706193634484
activation,ipip_stems,final_token,7,N,16,-0.001956853664818026,-0.0018392287020697153,-0.03271570265807511,-0.000564069922118705,0.010157827331469315,-0.0013927837426993207
activation,ipip_stems,final_token,8,O,16,0.00554213217890506,-0.00228579144579844,-0.03930006630719541,0.0006823426881189401,0.011405832298193712,0.00485978949078612
activation,ipip_stems,final_token,8,C,16,0.03024360864686979,0.026282696234931614,0.19238228194106857,0.0009086535968341959,0.0097243531089596,0.029334955050035593
activation,ipip_stems,final_token,8,E,16,0.01198788082049634,0.013905469212372328,0.22185696984013234,0.002159255506715167,0.010573586762773628,0.009828625313781173
activation,ipip_stems,final_token,8,A,16,0.055790920678709006,0.046675566116490416,0.3738012802654159,-0.00047147012529115206,0.008306145967373198,0.05626239080400016
activation,ipip_stems,final_token,8,N,16,-0.0013515003965019336,-0.00740138375225585,-0.0025784720579047887,0.001864439680177049,0.01020151779332504,-0.0032159400766789826
activation,ipip_stems,final_token,9,O,16,0.007308658409342209,0.00734678310472057,-0.015878877449306095,0.00011682717833855773,0.009509731415790387,0.007191831231003652
activation,ipip_stems,final_token,9,C,16,0.03130530137371356,0.017518280592105827,0.20533651907985745,-1.421343830706543e-05,0.00887871632898101,0.031319514812020624
activation,ipip_stems,final_token,9,E,16,0.013559807489080889,0.01473386129119494,0.2414349695511859,-0.0006206218493196924,0.010418807082554393,0.014180429338400581
activation,ipip_stems,final_token,9,A,16,0.059959740029455574,0.05666902007635022,0.42198470373175095,-0.0011199782940135776,0.00922359948055632,0.06107971832346915
activation,ipip_stems,final_token,9,N,16,0.0012758858783664061,0.007830037792913476,-0.013309361065067572,0.00011133559604088672,0.00921578723015162,0.0011645502823255194
activation,ipip_stems,final_token,10,O,16,0.008520298563432656,0.009226739034527583,-0.0045260403687522235,0.0010771037563227493,0.009295695882575887,0.007443194807109906
activation,ipip_stems,final_token,10,C,16,0.030222924320702827,0.01567218293463515,0.18574400824500345,0.001530485858053556,0.010241431507717133,0.02869243846264927
activation,ipip_stems,final_token,10,E,16,0.013992909807775181,0.012434574605552518,0.20678847637013323,-0.0005838583262983512,0.0094701879821695,0.014576768134073532
activation,ipip_stems,final_token,10,A,16,0.06664786284593129,0.06322039487699116,0.4269468516024191,-0.0015737073882067104,0.008956846779723963,0.068221570234138
activation,ipip_stems,final_token,10,N,16,-0.0005978955160974608,0.001991022132553274,-0.05395270063226852,-0.0005956430160696424,0.009151729380784127,-2.2525000278183094e-06
activation,ipip_stems,final_token,11,O,16,0.010666005241976294,0.0009343059910269577,0.0016903819656021862,-0.0007472723865046116,0.008341437291954197,0.011413277628480906
activation,ipip_stems,final_token,11,C,16,0.03334419014866683,0.02195569368804562,0.20686485449854247,-0.0007652999840943878,0.008411138011665069,0.03410949013276122
activation,ipip_stems,final_token,11,E,16,0.01640870725579756,0.012053387413088219,0.21433667343639828,0.00019743658647152287,0.009321917258017105,0.016211270669326035
activation,ipip_stems,final_token,11,A,16,0.06571120622443045,0.05870299050522595,0.43467752693288353,-0.0024064595295251383,0.008892059462395414,0.06811766575395559
activation,ipip_stems,final_token,11,N,16,-0.0008459720241892427,0.006290944657650489,-0.02527142569799154,-0.002033823961044516,0.006986177334092739,0.0011878519368552732
