representation,prompt_group,pooling_rule,layer,target,procrustes_disparity,mean_canonical_correlation,leave_profile_out_multivariate_r2,leave_profile_out_O_r2,leave_profile_out_C_r2,leave_profile_out_E_r2,leave_profile_out_A_r2,leave_profile_out_N_r2
activation,ipip_stems,final_token,0,row_weighted_continuous,1.136954203249965,0.4196741343390715,-1.047376291028948,-0.5052140721058098,-0.2475435857778847,-0.9124975650111726,-0.4266168107591677,-3.1450094214907054
activation,ipip_stems,final_token,0,unique_tuple_weighted_continuous,1.136166601807321,0.4198550186548811,-0.9827703088855465,-0.22433540880140956,-0.18106478598280762,-0.6194382130858593,-0.6129811291764169,-3.2760320073812386
activation,ipip_stems,final_token,1,row_weighted_continuous,1.1423491699362478,0.42882393649441874,-0.2864798666765703,-0.5688832507208732,0.08941328849436825,0.2196555421604358,-0.49357637373381014,-0.6790085395829726
activation,ipip_stems,final_token,1,unique_tuple_weighted_continuous,1.1112149339092228,0.4436056620793945,-0.2702980963351059,-0.530519566648858,0.07302734262388189,0.21509835877584826,-0.4956123406359634,-0.6134842757904382
activation,ipip_stems,final_token,2,row_weighted_continuous,1.097905827082676,0.4556979206192736,-0.27178809104834556,-0.38072214512097347,-0.005354580785714935,-0.2065546873097861,-0.012758207883670325,-0.7535508341415831
activation,ipip_stems,final_token,2,unique_tuple_weighted_continuous,1.1204649300843796,0.4410768849162848,-0.24945991819104424,-0.2414893971713188,0.05342880558584184,-0.22693568435569533,-0.015086716580488213,-0.8172165984335606
activation,ipip_stems,final_token,3,row_weighted_continuous,1.1872942828688735,0.41183905143018346,-0.3684194847054187,-0.7733613543789122,-0.20582709647070407,-0.15990788559227287,-0.15292768058574513,-0.5500734064994595
activation,ipip_stems,final_token,3,unique_tuple_weighted_continuous,1.176410139372509,0.41691608372636946,-0.3368955596818709,-0.7255935779296991,0.011026912054567406,-0.10559623547501396,-0.11641913592035302,-0.7478957611388557
activation,ipip_stems,final_token,4,row_weighted_continuous,1.240510813168257,0.3871493701333036,-0.5907985397053884,-1.2362262233132468,-0.32944869455814496,-0.25357878026283065,0.09735421327498628,-1.232093213667706
activation,ipip_stems,final_token,4,unique_tuple_weighted_continuous,1.227086472992981,0.3918339481047866,-0.4955509289973846,-0.9523283216923746,-0.2122524238418324,-0.0668616035562446,0.10056839501912107,-1.3468806909155924
activation,ipip_stems,final_token,5,row_weighted_continuous,1.1894835810598934,0.41880184157928835,-0.6358088024188968,-1.7178292213770416,-0.07692093698353286,-0.24469737378840062,0.283664793358942,-1.4232612733044512
activation,ipip_stems,final_token,5,unique_tuple_weighted_continuous,1.1716945356396153,0.4254639223912019,-0.5423708074362628,-1.3980700113099411,0.005593257109913097,-0.061321990443814034,0.180469137898967,-1.4385244304364386
activation,ipip_stems,final_token,6,row_weighted_continuous,1.203179087163581,0.40626449942927606,-0.3765765045099559,-0.9606482298635963,-0.2032912796764046,-0.01958617637979798,0.3078857400517083,-1.0072425766816888
activation,ipip_stems,final_token,6,unique_tuple_weighted_continuous,1.169251488853631,0.4230803814009311,-0.2706422217157076,-0.721792011125461,-0.06449430275884915,0.05587914728014676,0.3166427948975483,-0.939446736871923
activation,ipip_stems,final_token,7,row_weighted_continuous,1.1990411252793225,0.4074140810732958,-0.22345646994015622,-0.6295233538298224,-0.0913573099788465,-0.23454773763420178,0.3743236552649072,-0.5361776035228178
activation,ipip_stems,final_token,7,unique_tuple_weighted_continuous,1.1944850905895275,0.41168270764044007,-0.16224151929258374,-0.4843337434542794,0.006369966475221145,-0.14082703569195099,0.3300041141381912,-0.5224208979301006
