prompt_group,pooling_rule,layer,ptype,profile,centroid_norm
ipip_stems,final_token,0,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,0.16901387
ipip_stems,final_token,0,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,0.18125115
ipip_stems,final_token,0,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,0.16582534
ipip_stems,final_token,0,3,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,0.15117429
ipip_stems,final_token,0,4,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,0.17722547
ipip_stems,final_token,0,5,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,0.17873241
ipip_stems,final_token,0,6,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,0.1898253
ipip_stems,final_token,0,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,0.0471841
ipip_stems,final_token,0,8,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,0.2030655
ipip_stems,final_token,0,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,0.20029886
ipip_stems,final_token,0,10,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,0.20499343
ipip_stems,final_token,0,11,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,0.21586931
ipip_stems,final_token,0,12,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,0.16690888
ipip_stems,final_token,0,13,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,0.15543722
ipip_stems,final_token,0,14,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,0.15934107
ipip_stems,final_token,0,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,0.13040923
ipip_stems,final_token,0,16,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,0.1744389
ipip_stems,final_token,0,17,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,0.22648796
ipip_stems,final_token,0,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,0.12156013
ipip_stems,final_token,0,19,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,0.11049159
ipip_stems,final_token,0,20,Openness high; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,0.16442184
ipip_stems,final_token,0,21,Openness high; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,0.19404903
ipip_stems,final_token,0,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,0.1530637
ipip_stems,final_token,0,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,0.05004388
ipip_stems,final_token,0,24,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,0.17277008
ipip_stems,final_token,0,25,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,0.1972331
