representation,prompt_group,pooling_rule,layer,subset,profiles,pairs,target,pearson_r,spearman_rho
activation,ipip_stems,final_token,0,all_32,32,496,row_weighted_continuous,0.09085378075013827,0.07816321192059493
activation,ipip_stems,final_token,0,all_32,32,496,unique_tuple_weighted_continuous,0.12391182046515138,0.10407262735749787
activation,ipip_stems,final_token,0,rows_ge_1000,30,435,row_weighted_continuous,0.06061586784724366,0.04892373497857675
activation,ipip_stems,final_token,0,rows_ge_1000,30,435,unique_tuple_weighted_continuous,0.0753417736932815,0.06555485416299164
activation,ipip_stems,final_token,0,rows_ge_10000,30,435,row_weighted_continuous,0.06061586784724366,0.04892373497857675
activation,ipip_stems,final_token,0,rows_ge_10000,30,435,unique_tuple_weighted_continuous,0.0753417736932815,0.06555485416299164
activation,ipip_stems,final_token,0,rows_ge_50000,22,231,row_weighted_continuous,0.05363667185034731,0.03869915691504897
activation,ipip_stems,final_token,0,rows_ge_50000,22,231,unique_tuple_weighted_continuous,0.11721770646294484,0.09305282423723205
activation,ipip_stems,final_token,0,unique_tuples_ge_10,28,378,row_weighted_continuous,0.021192724144182586,0.011873295377981031
activation,ipip_stems,final_token,0,unique_tuples_ge_10,28,378,unique_tuple_weighted_continuous,0.0676696030068502,0.05913051959817496
activation,ipip_stems,final_token,0,unique_tuples_ge_25,24,276,row_weighted_continuous,0.061620470172480825,0.048097487193390506
activation,ipip_stems,final_token,0,unique_tuples_ge_25,24,276,unique_tuple_weighted_continuous,0.11568863651236974,0.09550548650846878
activation,ipip_stems,final_token,0,exposure_quartile_1,8,28,row_weighted_continuous,0.05892457397074692,-0.028461959496442254
activation,ipip_stems,final_token,0,exposure_quartile_1,8,28,unique_tuple_weighted_continuous,0.06191331008613553,0.013683634373289545
activation,ipip_stems,final_token,0,exposure_quartile_2,8,28,row_weighted_continuous,-0.002750593344421924,0.028461959496442254
activation,ipip_stems,final_token,0,exposure_quartile_2,8,28,unique_tuple_weighted_continuous,-0.1751529787750555,-0.13793103448275862
activation,ipip_stems,final_token,0,exposure_quartile_3,8,28,row_weighted_continuous,0.04686269798008573,0.06951286261631089
activation,ipip_stems,final_token,0,exposure_quartile_3,8,28,unique_tuple_weighted_continuous,0.1321918935253956,0.18664477285166942
activation,ipip_stems,final_token,0,exposure_quartile_4,8,28,row_weighted_continuous,-0.041857544273319815,-0.1986863711001642
activation,ipip_stems,final_token,0,exposure_quartile_4,8,28,unique_tuple_weighted_continuous,0.13492517831215978,-0.015873015873015872
activation,ipip_stems,final_token,0,pair_row_ratio_le_2_0,32,181,row_weighted_continuous,0.016080470204327263,-0.038712484568838156
activation,ipip_stems,final_token,0,pair_row_ratio_le_2_0,32,181,unique_tuple_weighted_continuous,0.12626408751070684,0.03829761398822172
activation,ipip_stems,final_token,0,pair_row_ratio_le_1_5,32,117,row_weighted_continuous,-0.03232220324878115,-0.015667850559726654
activation,ipip_stems,final_token,0,pair_row_ratio_le_1_5,32,117,unique_tuple_weighted_continuous,0.07491554123893254,0.03580901856763926
activation,ipip_stems,final_token,1,all_32,32,496,row_weighted_continuous,0.09257150084633481,0.08559135851275787
activation,ipip_stems,final_token,1,all_32,32,496,unique_tuple_weighted_continuous,0.14469444862879546,0.132215580875281
activation,ipip_stems,final_token,1,rows_ge_1000,30,435,row_weighted_continuous,0.03772411264120485,0.03367729106317344
activation,ipip_stems,final_token,1,rows_ge_1000,30,435,unique_tuple_weighted_continuous,0.09428283916231675,0.08894811039497796
activation,ipip_stems,final_token,1,rows_ge_10000,30,435,row_weighted_continuous,0.03772411264120485,0.03367729106317344
activation,ipip_stems,final_token,1,rows_ge_10000,30,435,unique_tuple_weighted_continuous,0.09428283916231675,0.08894811039497796
activation,ipip_stems,final_token,1,rows_ge_50000,22,231,row_weighted_continuous,0.07402853841694647,0.062092330458147556
activation,ipip_stems,final_token,1,rows_ge_50000,22,231,unique_tuple_weighted_continuous,0.14754355862550744,0.1404330302381277
activation,ipip_stems,final_token,1,unique_tuples_ge_10,28,378,row_weighted_continuous,0.03578860168115157,0.03712005904709025
activation,ipip_stems,final_token,1,unique_tuples_ge_10,28,378,unique_tuple_weighted_continuous,0.10349630770989265,0.1081527576841925
activation,ipip_stems,final_token,1,unique_tuples_ge_25,24,276,row_weighted_continuous,0.09113846906162461,0.07658851899944351
activation,ipip_stems,final_token,1,unique_tuples_ge_25,24,276,unique_tuple_weighted_continuous,0.15895301631060302,0.1515218104764487
activation,ipip_stems,final_token,1,exposure_quartile_1,8,28,row_weighted_continuous,-0.0618188716078019,-0.09523809523809523
activation,ipip_stems,final_token,1,exposure_quartile_1,8,28,unique_tuple_weighted_continuous,0.026860646047730613,-0.05747126436781609
activation,ipip_stems,final_token,1,exposure_quartile_2,8,28,row_weighted_continuous,-0.2664347929842485,-0.2233169129720854
activation,ipip_stems,final_token,1,exposure_quartile_2,8,28,unique_tuple_weighted_continuous,-0.20674431254156606,-0.11056376573617953
activation,ipip_stems,final_token,1,exposure_quartile_3,8,28,row_weighted_continuous,0.11014646941151515,0.11330049261083742
activation,ipip_stems,final_token,1,exposure_quartile_3,8,28,unique_tuple_weighted_continuous,0.19078421181730953,0.22769567597153803
activation,ipip_stems,final_token,1,exposure_quartile_4,8,28,row_weighted_continuous,0.05615454791378162,-0.05090311986863711
activation,ipip_stems,final_token,1,exposure_quartile_4,8,28,unique_tuple_weighted_continuous,0.1353756310597699,0.0755336617405583
activation,ipip_stems,final_token,1,pair_row_ratio_le_2_0,32,181,row_weighted_continuous,0.006900573029335822,-0.0308380385728452
activation,ipip_stems,final_token,1,pair_row_ratio_le_2_0,32,181,unique_tuple_weighted_continuous,0.1349512742542341,0.07314471900107258
activation,ipip_stems,final_token,1,pair_row_ratio_le_1_5,32,117,row_weighted_continuous,-0.02068643837667066,-0.04572224969653374
activation,ipip_stems,final_token,1,pair_row_ratio_le_1_5,32,117,unique_tuple_weighted_continuous,0.1252273698253783,0.06849345861619385
activation,ipip_stems,final_token,2,all_32,32,496,row_weighted_continuous,0.06755099068744455,0.0959506796399118
activation,ipip_stems,final_token,2,all_32,32,496,unique_tuple_weighted_continuous,0.09965938154686053,0.11922070054737025
activation,ipip_stems,final_token,2,rows_ge_1000,30,435,row_weighted_continuous,0.04344712748075792,0.06450694451531264
activation,ipip_stems,final_token,2,rows_ge_1000,30,435,unique_tuple_weighted_continuous,0.07081550498085853,0.09308712024573686
activation,ipip_stems,final_token,2,rows_ge_10000,30,435,row_weighted_continuous,0.04344712748075792,0.06450694451531264
activation,ipip_stems,final_token,2,rows_ge_10000,30,435,unique_tuple_weighted_continuous,0.07081550498085853,0.09308712024573686
