representation,prompt_group,pooling_rule,layer,transformation,interaction_order,energy
activation,ipip_stems,final_token,0,common_pc1_removed,0,6.303178264834923e-35
activation,ipip_stems,final_token,0,common_pc1_removed,1,0.001863579670393701
activation,ipip_stems,final_token,0,common_pc1_removed,2,0.003827028177794344
activation,ipip_stems,final_token,0,common_pc1_removed,3,0.0038369004518301565
activation,ipip_stems,final_token,0,common_pc1_removed,4,0.0019560874632844256
activation,ipip_stems,final_token,0,common_pc1_removed,5,0.0003522842060978482
activation,ipip_stems,final_token,0,exposure_residualized,0,2.849219683870635e-30
activation,ipip_stems,final_token,0,exposure_residualized,1,0.0015391096802153301
activation,ipip_stems,final_token,0,exposure_residualized,2,0.0035810428318350544
activation,ipip_stems,final_token,0,exposure_residualized,3,0.0036526081546146456
activation,ipip_stems,final_token,0,exposure_residualized,4,0.0018876304567495975
activation,ipip_stems,final_token,0,exposure_residualized,5,0.0003503584480487197
activation,ipip_stems,final_token,0,profile_centered,0,0.0
activation,ipip_stems,final_token,0,profile_centered,1,0.0026660846049086444
activation,ipip_stems,final_token,0,profile_centered,2,0.004327351938163681
activation,ipip_stems,final_token,0,profile_centered,3,0.004092530865566575
activation,ipip_stems,final_token,0,profile_centered,4,0.0019977661985018983
activation,ipip_stems,final_token,0,profile_centered,5,0.0003543190874126143
activation,ipip_stems,final_token,0,raw,0,0.01631967533018796
activation,ipip_stems,final_token,0,raw,1,0.0026660846049086444
activation,ipip_stems,final_token,0,raw,2,0.004327351938163681
activation,ipip_stems,final_token,0,raw,3,0.004092530865566575
activation,ipip_stems,final_token,0,raw,4,0.0019977661985018983
activation,ipip_stems,final_token,0,raw,5,0.0003543190874126143
activation,ipip_stems,final_token,0,unit_norm,0,0.001303635058058695
activation,ipip_stems,final_token,0,unit_norm,1,0.19971128761710752
activation,ipip_stems,final_token,0,unit_norm,2,0.32403612999912246
activation,ipip_stems,final_token,0,unit_norm,3,0.3003939510221786
activation,ipip_stems,final_token,0,unit_norm,4,0.14792345864679818
activation,ipip_stems,final_token,0,unit_norm,5,0.02663153765673426
activation,ipip_stems,final_token,1,common_pc1_removed,0,7.91398539707223e-34
activation,ipip_stems,final_token,1,common_pc1_removed,1,0.004932985631774359
activation,ipip_stems,final_token,1,common_pc1_removed,2,0.009752084400555095
activation,ipip_stems,final_token,1,common_pc1_removed,3,0.010130913763001945
activation,ipip_stems,final_token,1,common_pc1_removed,4,0.004804863254935787
activation,ipip_stems,final_token,1,common_pc1_removed,5,0.0009167870352976002
