representation,interaction_order,term_count,combinatorial_expected_share,observed_median_total_share,observed_mean_energy_share_per_term
activation,1,5,0.16129032258064516,0.20074520218598757,0.040663095027838055
activation,2,10,0.3225806451612903,0.3253455517941818,0.03221908066194817
activation,3,10,0.3225806451612903,0.30376044656924206,0.030204983063130443
activation,4,5,0.16129032258064516,0.14367919322339406,0.029609065508586288
activation,5,1,0.03225806451612903,0.025426317923587433,0.024398560067092245
logits,1,5,0.16129032258064516,0.26531536056962035,0.05143708123615246
logits,2,10,0.3225806451612903,0.3428630331827967,0.03405588263891623
logits,3,10,0.3225806451612903,0.256661991089197,0.02552102069214101
logits,4,5,0.16129032258064516,0.1187267265564619,0.024847198710846563
logits,5,1,0.03225806451612903,0.021753406421974212,0.022809566954432176
weights,1,5,0.16129032258064516,0.16199260732499166,0.0324408497420756
weights,2,10,0.3225806451612903,0.322515929963473,0.03225053552853535
weights,3,10,0.3225806451612903,0.32240156893997196,0.03222913846870547
weights,4,5,0.16129032258064516,0.16094364195605046,0.032172497774489675
weights,5,1,0.03225806451612903,0.032158457749020763,0.032136522444765336
