model_key,prompt_group,representation,pooling_rule,storage_root,data_path,metadata_path,array_name,array_shape,dtype,data_sha256,checksum_valid,adapter_hash,prompt_manifest_fingerprint,study_manifest_fingerprint
base,ipip_stems,activation,final_token,/workspace/full_profile_drift_study_v1,/workspace/full_profile_drift_study_v1/activation_outputs/shards/base/ipip_stems/final_token.npz,/workspace/full_profile_drift_study_v1/activation_outputs/shards/base/ipip_stems/final_token.metadata.json,base_activation,"[120, 32, 4096]",float32,68d640913ffd8fb75d9378ab72e934d0f0b46232920f59d70889e76199372ffc,True,,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad,21913be6e7362a05fc3d02230668db6faf1f4802fd28cdcde0d9b092ef98deab
base,ipip_stems,activation,mean_tokens,/workspace/full_profile_drift_study_v1,/workspace/full_profile_drift_study_v1/activation_outputs/shards/base/ipip_stems/mean_tokens.npz,/workspace/full_profile_drift_study_v1/activation_outputs/shards/base/ipip_stems/mean_tokens.metadata.json,base_activation,"[120, 32, 4096]",float32,1a06a9d2c81d7f5e44e2f915834319c576c920663f52b8dde875d1989bc166f9,True,,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad,21913be6e7362a05fc3d02230668db6faf1f4802fd28cdcde0d9b092ef98deab
base,ipip_stems,final_token_logits,,/workspace/full_profile_drift_study_v1,/workspace/full_profile_drift_study_v1/logit_outputs/shards/base/ipip_stems/final_token_logits.npz,/workspace/full_profile_drift_study_v1/logit_outputs/shards/base/ipip_stems/final_token_logits.metadata.json,base_logits,"[120, 128256]",float16,523f6c9b4ee0367a4701906bba0834b81a180e5640e56e763fa256b899a5fb0d,True,,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad,21913be6e7362a05fc3d02230668db6faf1f4802fd28cdcde0d9b092ef98deab
base,naturalistic_behavioral,activation,final_token,/workspace/full_profile_drift_study_v1,/workspace/full_profile_drift_study_v1/activation_outputs/shards/base/naturalistic_behavioral/final_token.npz,/workspace/full_profile_drift_study_v1/activation_outputs/shards/base/naturalistic_behavioral/final_token.metadata.json,base_activation,"[720, 32, 4096]",float32,43d7457fb802c9b98be948fe992d6b9e72cef2e924b5717e0f889cc739249dcf,True,,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad,21913be6e7362a05fc3d02230668db6faf1f4802fd28cdcde0d9b092ef98deab
base,naturalistic_behavioral,activation,mean_tokens,/workspace/full_profile_drift_study_v1,/workspace/full_profile_drift_study_v1/activation_outputs/shards/base/naturalistic_behavioral/mean_tokens.npz,/workspace/full_profile_drift_study_v1/activation_outputs/shards/base/naturalistic_behavioral/mean_tokens.metadata.json,base_activation,"[720, 32, 4096]",float32,fbda423ad0073517419713f44c49633e037a6c15096333013053fd685f975313,True,,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad,21913be6e7362a05fc3d02230668db6faf1f4802fd28cdcde0d9b092ef98deab
base,naturalistic_behavioral,final_token_logits,,/workspace/full_profile_drift_study_v1,/workspace/full_profile_drift_study_v1/logit_outputs/shards/base/naturalistic_behavioral/final_token_logits.npz,/workspace/full_profile_drift_study_v1/logit_outputs/shards/base/naturalistic_behavioral/final_token_logits.metadata.json,base_logits,"[720, 128256]",float16,0007105cf9faa07bb1d654fab9996372bd2da32832836d90f3d82df5519a0794,True,,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad,21913be6e7362a05fc3d02230668db6faf1f4802fd28cdcde0d9b092ef98deab
base,neutral_controls,activation,final_token,/workspace/full_profile_drift_study_v1,/workspace/full_profile_drift_study_v1/activation_outputs/shards/base/neutral_controls/final_token.npz,/workspace/full_profile_drift_study_v1/activation_outputs/shards/base/neutral_controls/final_token.metadata.json,base_activation,"[240, 32, 4096]",float32,058e3b9a2de3b5a6ae632c7e376ca259f99f3df437f946cd0bb7665b24b9af4b,True,,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad,21913be6e7362a05fc3d02230668db6faf1f4802fd28cdcde0d9b092ef98deab
base,neutral_controls,activation,mean_tokens,/workspace/full_profile_drift_study_v1,/workspace/full_profile_drift_study_v1/activation_outputs/shards/base/neutral_controls/mean_tokens.npz,/workspace/full_profile_drift_study_v1/activation_outputs/shards/base/neutral_controls/mean_tokens.metadata.json,base_activation,"[240, 32, 4096]",float32,65aef77ea01c9386df88a007f8d61f618fd36526f5caa4bbb3b442d58d7e064c,True,,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad,21913be6e7362a05fc3d02230668db6faf1f4802fd28cdcde0d9b092ef98deab
base,neutral_controls,final_token_logits,,/workspace/full_profile_drift_study_v1,/workspace/full_profile_drift_study_v1/logit_outputs/shards/base/neutral_controls/final_token_logits.npz,/workspace/full_profile_drift_study_v1/logit_outputs/shards/base/neutral_controls/final_token_logits.metadata.json,base_logits,"[240, 128256]",float16,936cac677eed5f1e7066ea37b5c5f7f218fbdf81f04e2dca945a76c24b93b6bf,True,,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad,21913be6e7362a05fc3d02230668db6faf1f4802fd28cdcde0d9b092ef98deab
ptype_0,ipip_stems,activation,final_token,/workspace/full_profile_drift_study_v1,/workspace/full_profile_drift_study_v1/activation_outputs/shards/ptype_0/ipip_stems/final_token.npz,/workspace/full_profile_drift_study_v1/activation_outputs/shards/ptype_0/ipip_stems/final_token.metadata.json,delta_h,"[120, 32, 4096]",float32,2e610ceb0b5b5202ee6fdc1d615c2832ee3060bc4520f00454d231f3a7b9ae6f,True,e7eba65dbc9560dac32ca75c0f8a9fc9c7f19ff09b8503c57b00bf36dd20754a,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad,21913be6e7362a05fc3d02230668db6faf1f4802fd28cdcde0d9b092ef98deab
