representation,subset,profiles,pairs,spearman_rho,pearson_r,null_mean,null_sd,p_two_sided,p_positive,null_q025,null_q975,q_bh_all24
activation,all_32,32,496,0.0968074330636802,0.0836961053756812,-0.0012137250351243,0.0575714447187736,0.0909696767744085,0.04431856047984,-0.1136996588524303,0.1117689396397937,0.23337675320347745
activation,rows_ge_1000,30,435,0.0743804460176371,0.0587646831745732,-0.0006785887528057,0.061193555103374,0.2275908030656447,0.1146284571809396,-0.1193162309366603,0.1183175823727252,0.3340063116216162
activation,rows_ge_10000,30,435,0.0743804460176371,0.0587646831745732,-0.0006785887528057,0.061193555103374,0.2275908030656447,0.1146284571809396,-0.1193162309366603,0.1183175823727252,0.3340063116216162
activation,rows_ge_50000,22,231,0.1183804201795206,0.1322464274252887,0.0005360167318937,0.078397055582943,0.133288903698767,0.0676441186271242,-0.1521090023170233,0.1563650479954828,0.2460718222131083
activation,exposure_quartile_1,8,28,-0.3037766830870279,-0.3230619974292717,-3.995621237000583e-05,0.1976237545646896,0.1242919026991003,0.9486837720759748,-0.356335522714833,0.4214969896004379,0.2460718222131083
activation,exposure_quartile_4,8,28,0.3513957307060755,0.4222702346495621,-0.0030509031198686,0.2030305145219443,0.0863045651449516,0.0469843385538154,-0.3842775041050903,0.402353585112206,0.23337675320347745
activation,pair_row_ratio_le_1_5,32,117,0.2556534640111495,0.2293471087873057,0.002462560006394,0.0982418174805253,0.0099966677774075,0.0046651116294568,-0.1930103478247838,0.1947365463291822,0.047984005331556
activation,pair_row_ratio_le_2_0,32,181,0.2661384655859793,0.2255918105252622,0.0013775990124056,0.0848111717018464,0.0013328890369876,0.0006664445184938,-0.1686908303482889,0.1662301924594742,0.0159946684438512
logits,all_32,32,496,0.1112580664829642,0.0856169174609141,-0.0014802559901605,0.0565076198556723,0.0469843385538154,0.019993335554815,-0.1132966862760138,0.1062926139436816,0.16108916075593852
logits,rows_ge_1000,30,435,0.0977802626188702,0.047099494464953,-0.0010634648177116,0.0600884061414474,0.1069643452182605,0.0553148950349883,-0.116363550880037,0.1173844281617699,0.23337675320347745
logits,rows_ge_10000,30,435,0.0977802626188702,0.047099494464953,-0.0010634648177116,0.0600884061414474,0.1069643452182605,0.0553148950349883,-0.116363550880037,0.1173844281617699,0.23337675320347745
logits,rows_ge_50000,22,231,0.2005383671800463,0.1915552886929545,-0.0014950881702006,0.0758902466782039,0.0056647784071976,0.0029990003332222,-0.1493352187542592,0.1466425553457039,0.0339886704431856
logits,exposure_quartile_1,8,28,-0.2320744389709907,-0.1960118104277028,0.0003448275862068,0.1905728859757152,0.2365878040653115,0.8850383205598134,-0.3541871921182266,0.3771346469622331,0.3340063116216162
logits,exposure_quartile_4,8,28,0.2156540777230432,0.3092430843654045,-0.001831417624521,0.2051486226513988,0.2955681439520159,0.1472842385871376,-0.3777093596059113,0.415448823207444,0.3940908586026879
logits,pair_row_ratio_le_1_5,32,117,0.2622547917696953,0.2206871808656342,0.0011540559576795,0.09526577753975,0.0049983338887037,0.0026657780739753,-0.1859161683825623,0.188791792174317,0.0339886704431856
logits,pair_row_ratio_le_2_0,32,181,0.2940744338534393,0.2417329196477864,0.0001941951848029,0.0821586506097623,0.0006664445184938,0.0006664445184938,-0.1584078582559245,0.1593090887013539,0.0159946684438512
weights,all_32,32,496,-0.0027707791224374,-0.00052422893683,-0.00084606180583,0.0588834520348955,0.9623458847050984,0.5124958347217594,-0.1127821966009153,0.1168336386845019,0.9623458847050984
weights,rows_ge_1000,30,435,-0.0302619628333214,-0.0298636701880043,-0.0010816774718377,0.0627204587326956,0.6334555148283906,0.6757747417527491,-0.1237598824673403,0.1210803288057066,0.6910423798127897
weights,rows_ge_10000,30,435,-0.0302619628333214,-0.0298636701880043,-0.0010816774718377,0.0627204587326956,0.6334555148283906,0.6757747417527491,-0.1237598824673403,0.1210803288057066,0.6910423798127897
weights,rows_ge_50000,22,231,0.0575858174808699,0.0360085539342037,-0.0011391249180604,0.0801988130666724,0.4758413862045985,0.2285904698433855,-0.1547916382717732,0.1561732851106914,0.6010628036268613
weights,exposure_quartile_1,8,28,0.113847837985769,0.0710019296681231,0.0004314906039043,0.2014224749202232,0.5731422859046984,0.2905698100633122,-0.4122605363984673,0.3880952380952382,0.6877707430856381
weights,exposure_quartile_4,8,28,-0.0114942528735632,0.0829239440434985,0.0002733077905491,0.2007192667020354,0.9533488837054316,0.5054981672775741,-0.3739326765188833,0.4242747673782159,0.9623458847050984
weights,pair_row_ratio_le_1_5,32,117,-0.1439853736756133,-0.1273639186404478,-0.0022242103633103,0.1054966049754569,0.1736087970676441,0.9140286571142952,-0.2068446627403377,0.2068491585367681,0.2976150806873899
weights,pair_row_ratio_le_2_0,32,181,-0.1834962459271851,-0.2004217617285681,-0.0016585911939503,0.0888570711121462,0.0353215594801732,0.984005331556148,-0.1681561026450529,0.1739837188594095,0.1412862379206928
