ptype,human_readable_profile,row_count,effective_update_frobenius_norm,total_retained_tokens_after_512
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,159137,85.08547792018025,8358481
1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,181124,86.5815953687653,7018725
2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,54646,46.37311659108737,2929674
3,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,36335,37.1726095271961,1347830
4,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,86106,63.48952969694211,4862970
5,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,26428,30.38212816985918,1284928
6,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,78856,57.99799157832508,5312327
7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,498,3.4706557414516435,53276
8,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,197647,97.79883839646892,9835434
9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,345069,131.5950875940946,16732444
10,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,270927,121.85633957390964,14610983
11,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,123675,73.36123484729148,4768072
12,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,102199,68.52608700190028,4442481
13,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,64344,49.702891616922784,3717471
14,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,67423,54.61930982953889,4030882
15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,19430,26.492124229095563,671002
16,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,60871,46.33667510810194,4406957
17,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,125443,80.02928063812284,4180449
18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,16183,21.520523002017296,1331901
19,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,28097,32.47435330603659,973113
20,Openness high; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,58662,47.87562803213834,2795820
21,Openness high; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,27804,32.889891026513624,1361331
22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,15075,20.01900903151196,610823
23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,486,3.599366320296154,22895
24,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,120763,77.6397960356408,7815716
25,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,273049,108.86766182141716,13772403
26,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,82449,57.75859929766729,4674203
27,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,38458,36.95745507686574,2058753
28,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,77420,60.5412840033481,4616162
29,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,85323,57.9212202090611,3563309
30,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,89461,61.03663195846342,4186897
31,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,93178,65.57962989112886,6055395
