ptype,row_count,retained_tokens,nominal_steps,unique_tuple_count,update_frobenius_norm,update_spectral_norm,activation_effect_magnitude,logit_effect_magnitude
0,159137,8358481,4974,79,85.08547792018025,54.94457247451469,9.32546712687084,456.3119812011719
1,181124,7018725,5661,114,86.5815953687653,55.5914961180188,9.140334949130192,442.9927266438802
2,54646,2929674,1708,26,46.37311659108737,32.97017737547423,8.988156795385294,465.7327779134114
3,36335,1347830,1136,16,37.1726095271961,27.95289114916487,8.66174166284812,436.8272501627605
4,86106,4862970,2691,58,63.48952969694211,43.15349141518823,9.368578977844058,471.305643717448
5,26428,1284928,826,27,30.38212816985918,22.235868759565644,9.719666104492113,507.21234130859375
6,78856,5312327,2465,35,57.99799157832508,40.12953410130204,9.180046596913598,481.1452840169271
7,498,53276,16,2,3.4706557414516435,1.914653172461397,5.484939908531184,452.45191446940106
8,197647,9835434,6177,116,97.79883839646892,62.7256687516558,9.449383569687294,471.9937540690104
9,345069,16732444,10784,150,131.5950875940946,74.6658537204308,9.74617413280066,481.6800028483073
10,270927,14610983,8467,79,121.85633957390964,74.09615182890539,10.0634460086391,502.7630716959636
11,123675,4768072,3865,58,73.36123484729148,50.48684639395238,9.23985947711238,463.02147420247394
12,102199,4442481,3194,74,68.52608700190028,46.493633693950464,9.58938181415821,493.95611572265625
13,64344,3717471,2011,44,49.702891616922784,34.96306500452719,8.62204929891353,461.8955891927083
14,67423,4030882,2107,52,54.61930982953889,38.553129219463614,9.29154252121225,469.2287902832031
15,19430,671002,608,14,26.492124229095563,19.963999496163336,9.460332063958049,471.75636800130206
16,60871,4406957,1903,29,46.33667510810194,31.48082776975628,9.351172281856028,504.1725463867188
17,125443,4180449,3921,47,80.02928063812284,55.36714880179251,9.706360307522118,495.42396036783856
18,16183,1331901,506,17,21.520523002017296,16.254352689529778,8.726040524314158,465.6783752441406
19,28097,973113,879,7,32.47435330603659,24.538463600937543,9.403034323321966,509.5209655761719
20,58662,2795820,1834,30,47.87562803213834,34.10145788122502,9.28328173518336,479.1526285807292
21,27804,1361331,869,19,32.889891026513624,25.45405777747086,9.389069746908111,531.2409973144531
22,15075,610823,472,8,20.01900903151196,14.487925018453696,8.37643521981469,402.2010498046875
23,486,22895,16,5,3.599366320296154,1.88677824901312,5.369515738605212,372.1940104166667
24,120763,7815716,3774,63,77.6397960356408,51.97341335064449,9.546176676327985,492.4356282552083
25,273049,13772403,8533,119,108.86766182141716,65.1240074640261,9.548639438231476,467.6726888020833
26,82449,4674203,2577,47,57.75859929766729,40.62122342998983,9.402670218609272,468.0202840169271
27,38458,2058753,1202,39,36.95745507686574,26.800362285349625,8.896730337369567,444.8671366373698
28,77420,4616162,2420,56,60.5412840033481,42.08744214574522,9.363809290652474,474.815907796224
29,85323,3563309,2667,40,57.9212202090611,40.18990180524456,9.199974810743392,477.5635884602864
30,89461,4186897,2796,47,61.03663195846342,42.468678206497295,9.617452821345069,493.4179178873698
31,93178,6055395,2912,31,65.57962989112886,44.66819291582416,9.33146049202575,465.30286661783856
