ptype_a,ptype_b,distance
0,1,2.934043571667592
0,2,3.4331095621432706
0,3,3.657763164978482
0,4,2.9930656069354757
0,5,3.809368352076678
0,6,3.0835749188348136
0,7,4.815095423514171
0,8,3.0963058286407215
0,9,3.23230007090107
0,10,3.5067323362258986
0,11,3.0653355300011023
0,12,3.082933252947749
0,13,3.542842724809784
0,14,3.0638538160197952
0,15,3.9594872527874707
0,16,3.375026540995421
0,17,3.2600198338467306
0,18,3.672797771713629
0,19,4.389498727290328
0,20,3.2555666214073624
0,21,3.8426743094074642
0,22,3.9155867879784965
0,23,5.018542952514372
0,24,3.1592038609079047
0,25,3.2772804592240266
0,26,3.5087089508767035
0,27,3.2649498131495402
0,28,3.1278576608820177
0,29,3.0812046776606556
0,30,3.223508034306836
0,31,3.428020792152503
1,2,3.2853664983579467
1,3,3.392309438530487
1,4,3.0846379038347584
1,5,3.723261522426791
1,6,3.1132623325537554
1,7,4.900751679438817
1,8,2.9620838010983714
1,9,3.094230961399909
1,10,3.5155616242499423
1,11,2.9995943633582267
1,12,3.0432673035451203
1,13,3.3565973773767
1,14,2.939346144815257
1,15,3.880324258825008
1,16,3.25184227244081
1,17,3.2658931545584973
1,18,3.5923475495193657
1,19,4.213764098520307
1,20,3.089589205025282
1,21,3.9560336687323194
1,22,3.8192956339146042
1,23,4.915561807019219
1,24,3.247540383889428
1,25,3.130358769826047
1,26,3.449270537647281
1,27,3.041700482562526
1,28,3.1142080326007413
1,29,2.9557321320001013
1,30,3.332080347174283
1,31,3.2994022167308255
2,3,3.4910734879068372
2,4,3.3653621219400622
2,5,3.6942959156604327
2,6,3.2350682822173966
2,7,4.904618857674177
2,8,3.3650804619763774
2,9,3.4606142706461793
2,10,3.7124902923963283
2,11,3.4098177776057597
2,12,3.2471663107808624
2,13,3.475279515658505
2,14,3.0798246051926648
2,15,4.0183031606497295
2,16,3.6143042974511896
2,17,3.624547698814498
2,18,3.936414496099791
2,19,4.540963761645899
2,20,3.541380657943439
2,21,4.287162864695376
2,22,4.0592564092337575
2,23,4.838438417236177
2,24,3.4112866176493646
2,25,3.368585029702356
2,26,3.7260157035998405
2,27,3.3091751257036033
2,28,3.338351497360326
2,29,3.2431458479535897
2,30,3.4343938320689484
2,31,3.270957299066169
3,4,3.712992062739086
3,5,3.9659039305009283
3,6,3.6378837698236706
3,7,4.92929572999772
3,8,3.675617613320951
3,9,3.8635023214845554
3,10,3.942390054413146
3,11,3.6252055620228743
3,12,3.6133517811497953
3,13,3.8579597075988405
3,14,3.3954815074247673
3,15,4.058069182371507
3,16,3.7630720947568896
3,17,3.895493654299134
3,18,3.929270742256001
3,19,4.318419198948477
3,20,3.732625677649295
3,21,4.14453971961605
3,22,3.8208577682046347
3,23,4.857817995657818
3,24,3.8621123016395225
3,25,3.8321216276777545
3,26,3.809606557382759
3,27,3.252347055637823
3,28,3.611478869059935
3,29,3.4683931814828775
3,30,3.7419349823154597
3,31,3.5612237036644454
4,5,3.5972977569682842
4,6,2.8999182843065103
4,7,5.021199268174552
4,8,3.0404097066532576
4,9,3.3470416330362798
4,10,3.495186038598264
4,11,3.2318789155178105
4,12,3.016373728121542
4,13,3.650186307238393
4,14,3.1154306790037225
4,15,3.892304745746482
4,16,3.4079839911849708
4,17,3.2971881342980986
4,18,3.7993008097484524
4,19,4.325445013095871
4,20,3.2957587769497096
4,21,3.8575283456380958
4,22,3.8778211733521672
4,23,5.219499527091732
4,24,3.135955734299353
4,25,3.5424574888768423
4,26,3.479752377725885
4,27,3.1992027593613117
4,28,2.9872382108213746
4,29,3.1639156082599844
4,30,3.2989003247134683
4,31,3.459532276894817
5,6,3.661320543122715
5,7,5.584004805278755
5,8,3.614208607804429
5,9,3.909034444536094
5,10,4.062518335823988
5,11,3.9126632788499918
5,12,3.4178936684522143
5,13,4.073865210969027
5,14,3.656615365261286
5,15,4.36453651178113
5,16,3.82997301876774
5,17,3.8479481061973613
5,18,4.308283274381505
5,19,4.643120053380968
5,20,3.7895811579188554
5,21,4.251126620542981
5,22,4.059657881519452
5,23,5.280849084089307
5,24,3.6759327631734577
5,25,3.901170050651039
5,26,4.205225624145915
5,27,3.5922527173009566
5,28,3.538115943980209
5,29,3.622269469500019
5,30,3.708556089851749
5,31,3.606305328018026
6,7,4.884408050929971
6,8,3.061504192093303
6,9,3.3770471206614108
6,10,3.4977549960303485
6,11,3.1737807714848163
6,12,3.011966100025567
6,13,3.5655519789348156
6,14,2.990733349031093
6,15,3.860352539817329
6,16,3.418552164614249
6,17,3.296771621549183
6,18,3.8073333388262207
6,19,4.332688522732997
6,20,3.383177291208088
