ptype_a,ptype_b,distance
0,1,139.12148544830782
0,2,200.23236304200637
0,3,189.4445416156975
0,4,151.3842200090091
0,5,206.3628747476163
0,6,191.63245157111905
0,7,293.23131474212846
0,8,152.80025384707798
0,9,142.76410788882285
0,10,155.5465927042654
0,11,149.55985502921
0,12,162.34678664380144
0,13,151.4383738334938
0,14,138.601707324142
0,15,174.63538946253615
0,16,200.87225142354723
0,17,164.81652030765255
0,18,191.0876838867492
0,19,294.5558070887758
0,20,164.94433811726864
0,21,250.33557821405597
0,22,228.19318957103906
0,23,306.03504277577963
0,24,163.2241019248812
0,25,144.58069983238687
0,26,173.59462116704833
0,27,191.16865278431544
0,28,177.54037048407108
0,29,161.96683582756728
0,30,176.67223610505957
0,31,166.4069484837601
1,2,158.1626798841094
1,3,147.8633861609029
1,4,135.7401895830842
1,5,176.24278351005862
1,6,157.70697216004478
1,7,258.4605338590749
1,8,129.89119045461754
1,9,141.7563872893318
1,10,155.3284253528812
1,11,147.23591984193357
1,12,138.98287606660838
1,13,142.42515053929182
1,14,129.27960066147435
1,15,164.0610096697372
1,16,177.02981719649893
1,17,153.72171931676354
1,18,166.5425009752109
1,19,247.89815781230263
1,20,132.5521707982148
1,21,218.51575537575528
1,22,192.03342995835737
1,23,268.51189580550175
1,24,146.4863452126742
1,25,127.98255614120683
1,26,148.65909404524993
1,27,142.73371968486154
1,28,143.16014496659042
1,29,135.21616448392274
1,30,152.07911583683799
1,31,140.67356435926692
2,3,161.56271009326505
2,4,151.25512633819352
2,5,171.36860176945
2,6,139.79738227588734
2,7,223.44971145406205
2,8,164.85416488417286
2,9,191.58242768736645
2,10,178.37457184089172
2,11,200.8220052261714
2,12,149.75217382783595
2,13,180.1372765294209
2,14,163.2173258783893
2,15,191.28578784048167
2,16,168.57856184448488
2,17,195.57212755627447
2,18,178.13735378520155
2,19,221.43801727784125
2,20,165.5138501037736
2,21,207.77192324950013
2,22,212.5379046959509
2,23,258.70409919510877
2,24,149.57687745565852
2,25,181.4784544501367
2,26,179.3209725148748
2,27,148.57491192311755
2,28,152.64484904156922
2,29,150.40525453347828
2,30,165.79767565574505
2,31,156.52343988907344
3,4,158.81631291030283
3,5,177.4578821799347
3,6,165.7957345462519
3,7,229.25103036952487
3,8,169.75062822200928
3,9,193.09536807303118
3,10,187.4396200765647
3,11,195.50868287954827
3,12,162.4845880578207
3,13,170.4136578670101
3,14,158.14970701745102
3,15,183.80668091023963
3,16,179.73288272947192
3,17,200.41295429829324
3,18,177.0310727560183
3,19,225.9103165658399
3,20,158.4116044515492
3,21,211.58302980325553
3,22,184.6932959802197
3,23,259.44363396031343
3,24,168.91517102806426
3,25,178.63525793158837
3,26,164.71016817309552
3,27,141.5273389401968
3,28,157.85741388754954
3,29,151.95067466662496
3,30,177.38415295403578
3,31,158.81033767503
4,5,165.7048193778278
4,6,135.28940788030465
4,7,230.98828946126514
4,8,134.24720719218166
4,9,157.4739198968407
4,10,154.0032733397719
4,11,156.78118499322446
4,12,130.6796579805363
4,13,150.04589041680538
4,14,133.71319339089163
4,15,167.79032199007466
4,16,161.5527045156871
4,17,167.85715180570136
4,18,157.31486727443783
4,19,239.5265477062854
4,20,133.66312534343177
4,21,198.90657016132295
4,22,208.1896270917181
4,23,270.34797067399785
4,24,135.20024101537956
4,25,152.41163944066807
4,26,160.15682716175473
4,27,158.1024614599645
4,28,137.14754862977875
4,29,135.58167872441
4,30,153.12633529569334
4,31,152.8106463038459
5,6,167.1388988506759
5,7,250.58340693135696
5,8,174.34840152688892
5,9,205.58688510843754
5,10,190.9094292842253
5,11,210.75567844497937
5,12,161.02788811749085
5,13,184.88626920450955
5,14,179.03675728256516
5,15,203.43056554214778
5,16,179.6806405965207
5,17,210.4366693158784
5,18,188.26334227062725
5,19,230.09775944979097
5,20,172.19587951185372
5,21,200.91823593918227
5,22,214.6838420134185
5,23,264.26306376480676
5,24,161.8161134412767
5,25,191.2799619839225
5,26,193.1605734440786
5,27,175.22609585291536
5,28,168.5731944240944
5,29,164.60877745381276
5,30,184.32466990966523
5,31,165.28348521554048
6,7,215.52334532857358
6,8,155.4092145290727
6,9,194.16286265179247
6,10,177.7584211153669
6,11,188.39199026053453
6,12,141.47437984174272
6,13,175.09168243514145
6,14,156.54239485002654
6,15,186.41341899362314
6,16,163.2973600170084
6,17,189.69402509174742
6,18,169.71993858919814
6,19,218.0066399710945
6,20,153.94937012360018
6,21,186.17720436800948
6,22,207.84387547526975
6,23,254.35910424164277
6,24,143.5921348848461
6,25,177.23644132766574
6,26,172.4802112413744
6,27,151.6694551951828
6,28,138.10140876380004
6,29,146.57621036257675
6,30,163.9763621636824
6,31,163.69273469049304
7,8,262.7023171043821
7,9,307.9510815113292
7,10,282.9977535503157
7,11,288.7751557851866
7,12,249.14999286184425
7,13,262.17962577941677
7,14,263.852668620074
7,15,273.516785345045
7,16,230.3393436134968
7,17,292.7199034711369
7,18,215.04869841635374
7,19,229.33059607702737
7,20,239.4559420375242
7,21,199.84875510310818
7,22,238.55621985035611
7,23,216.6169369148978
7,24,243.18760633749739
7,25,292.746917425936
7,26,263.1520517717974
7,27,229.61498120153874
7,28,227.56206021645212
7,29,244.87707938835192
7,30,263.93031550797906
7,31,256.0776476958847
8,9,142.19359745463453
8,10,152.568493445197
8,11,141.15214837786246
8,12,140.48019311112068
8,13,155.2886964828958
8,14,134.15672790029706
8,15,172.44549255055904
8,16,185.16184602119782
8,17,153.230751951139
8,18,171.28090405631644
8,19,254.15211703726288
8,20,146.27992028502774
8,21,212.7943432900408
8,22,206.52542142679326
8,23,272.01543400202803
8,24,139.74126845853195
8,25,137.34981104166584
8,26,161.23173751809477
8,27,162.00780172179714
8,28,140.7259002138053
8,29,145.43122956201375
8,30,151.44505530482914
8,31,150.7989108065214
9,10,155.47079720431938
9,11,147.3996850796086
9,12,164.1633023746683
9,13,162.19043087299448
9,14,143.69833884045195
9,15,178.85987979645594
9,16,206.29497285848174
9,17,172.60724919452664
9,18,197.15887341762786
9,19,294.3908642806701
9,20,168.91470445456773
9,21,254.1969792996313
9,22,247.56050374460787
9,23,318.7190511177153
9,24,158.5986434198113
9,25,136.3696738380418
9,26,171.06237248678744
9,27,188.46829699970579
9,28,176.45320025096825
9,29,166.1984471710251
9,30,160.34873409963654
9,31,166.19026736974033
10,11,164.36398734657556
10,12,153.90800665281643
10,13,164.57969205192893
10,14,150.78192492090943
10,15,175.6718692627238
10,16,191.64840860270874
10,17,186.62723542852981
10,18,190.9964000762287
10,19,272.3353073215274
10,20,169.59077499224594
10,21,233.81662293566328
10,22,236.9419016637829
10,23,289.07349555523814
10,24,153.42822012970566
10,25,160.40922514203666
10,26,167.53671566744688
10,27,186.5127930309014
10,28,171.2424632342727
10,29,158.146912393841
10,30,172.52520671286706
10,31,158.95866975494917
11,12,166.7348420271651
11,13,172.84762693457913
11,14,147.94750326842941
11,15,186.30451517121844
11,16,206.87857176065646
11,17,168.39429312960564
11,18,188.7404608976649
11,19,286.09644772200636
11,20,167.25632105943143
11,21,231.38748682091386
11,22,231.1920198361701
11,23,291.32517717556294
11,24,167.66266436949834
11,25,141.78035577602
