ptype,profile,heldout_recall
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,0.3680555555555556
1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,0.3680555555555556
2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,0.5138888888888888
3,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,0.5486111111111112
4,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,0.3611111111111111
5,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,0.3333333333333333
6,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,0.4652777777777778
7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,0.8263888888888888
8,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,0.2986111111111111
9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,0.7569444444444444
10,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,0.4861111111111111
11,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,0.4236111111111111
12,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,0.2361111111111111
13,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,0.4444444444444444
14,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,0.24305555555555555
15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,0.5833333333333334
16,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,0.5277777777777778
17,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,0.4027777777777778
18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,0.5833333333333334
19,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,0.6875
20,Openness high; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,0.3819444444444444
21,Openness high; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,0.7430555555555556
22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,0.6180555555555556
23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,0.8888888888888888
24,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,0.3333333333333333
25,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,0.3472222222222222
26,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,0.6180555555555556
27,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,0.4513888888888889
28,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,0.3541666666666667
29,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,0.3680555555555556
30,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,0.3958333333333333
31,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,0.5277777777777778
