ptype_a,ptype_b,hamming
0,1,1
0,2,1
0,4,1
0,8,1
0,16,1
1,3,1
1,5,1
1,9,1
1,17,1
2,3,1
2,6,1
2,10,1
2,18,1
3,7,1
3,11,1
3,19,1
4,5,1
4,6,1
4,12,1
4,20,1
5,7,1
5,13,1
5,21,1
6,7,1
6,14,1
6,22,1
7,15,1
7,23,1
8,9,1
8,10,1
8,12,1
8,24,1
9,11,1
9,13,1
9,25,1
10,11,1
10,14,1
10,26,1
11,15,1
11,27,1
12,13,1
12,14,1
12,28,1
13,15,1
13,29,1
14,15,1
14,30,1
15,31,1
16,17,1
16,18,1
16,20,1
16,24,1
17,19,1
17,21,1
17,25,1
18,19,1
18,22,1
18,26,1
19,23,1
19,27,1
20,21,1
20,22,1
20,28,1
21,23,1
21,29,1
22,23,1
22,30,1
23,31,1
24,25,1
24,26,1
24,28,1
25,27,1
25,29,1
26,27,1
26,30,1
27,31,1
28,29,1
28,30,1
29,31,1
30,31,1
