ptype,x,y,row_count,profile
0,0.8465100707449308,-1.0565297927599384,159137,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low
1,0.8600629648023687,-1.100384827840171,181124,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high
2,0.5546278465401566,-0.606950147748227,54646,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low
3,0.5205096355178183,-0.565584079094787,36335,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high
4,0.6363090552166708,-0.724931088889023,86106,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low
5,0.5054659530918523,-0.5421152852257356,26428,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high
6,0.6046984780129396,-0.6772260868502136,78856,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low
7,0.4589928327768848,-0.48206864620534595,498,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high
8,1.0832167373290842,-1.5184353229201484,197647,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low
9,-22.43626419147594,2.2631324616690023,345069,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high
10,3.278475461724188,20.58046280978971,270927,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low
11,0.699110153469009,-0.8328200302406434,123675,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high
12,0.669037544523001,-0.7749310458384852,102199,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low
13,0.5644642248242303,-0.6263671767849447,64344,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high
14,0.5900725983475344,-0.6577490260333319,67423,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low
15,0.4968304230386128,-0.5327371621255284,19430,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high
16,0.5546965472679884,-0.6121166661412992,60871,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low
17,0.7729956119394933,-0.9410887696398015,125443,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high
18,0.4870985711567234,-0.5204223838518535,16183,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low
19,0.5080465513562038,-0.5475311447116756,28097,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high
20,0.5579726504824116,-0.6162123674786707,58662,Openness high; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low
21,0.5126174869471689,-0.5512664969428557,27804,Openness high; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high
22,0.48246449189001606,-0.5122380371654197,15075,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low
23,0.459247959979658,-0.4822956320288597,486,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high
24,0.7486939806226854,-0.8894850093289215,120763,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low
25,1.3641493902006052,-2.405001292998101,273049,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high
26,0.605752673453686,-0.6725677560665205,82449,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low
27,0.5236526352896882,-0.5686677603080789,38458,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high
28,0.6114520329877576,-0.6974517070349951,77420,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low
29,0.6033528163760243,-0.6830971638995037,85323,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high
30,0.6250463529470804,-0.7051284840315357,89461,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low
31,0.6506404586194617,-0.7401948812740559,93178,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high
