layer,trait,mean_pairwise_cosine
0,A,0.015769697804089967
0,C,0.04401876885472003
0,E,0.013896739765722683
0,N,0.0004394552944217
0,O,-0.00037088925217085007
1,A,0.028315285031810383
1,C,0.024296116602113282
1,E,0.010837498598597416
1,N,0.03206102032916875
1,O,0.009405630639529034
2,A,0.0356902438565581
2,C,0.019440926796165953
2,E,0.007756192190404434
2,N,0.03189374538205758
2,O,0.006204933530725983
3,A,0.04108308687233419
3,C,0.01877299845929997
3,E,0.00637515558062825
3,N,0.030419531075158896
3,O,0.004657531693514883
4,A,0.04149669363669182
4,C,0.013418874612056384
4,E,0.0024730956018202
4,N,0.0310892338854955
4,O,0.0037492880088345996
5,A,0.04070738571283825
5,C,0.0113499119308032
5,E,0.004906198597388983
5,N,0.03127462226075258
5,O,0.0034619308791513496
6,A,0.04550346679971232
6,C,0.010356551406288066
6,E,0.00496912791078065
6,N,0.02572493453567255
6,O,0.0034783059591602505
7,A,0.044017976216940514
7,C,0.011059719745416967
7,E,0.003994897231635733
7,N,0.020291399801368765
7,O,0.0020221625519635834
8,A,0.03930781531412381
8,C,0.015000258240885966
8,E,0.004374925228215217
8,N,0.01803180710091475
8,O,0.0020059844187833333
9,A,0.034879015948028315
9,C,0.0163938884999169
9,E,0.0028463303940390668
9,N,0.016519146218199183
9,O,0.0024097433184783333
10,A,0.038483948629122716
10,C,0.015930027822137097
10,E,0.0044070109585835
10,N,0.01582808499429667
10,O,0.0021208311376183665
11,A,0.03747757264715277
11,C,0.015499637961335582
11,E,0.005328522028907
11,N,0.015419045303133866
11,O,0.004733052172146333
12,A,0.0372875994656699
12,C,0.016835334782526266
12,E,0.0043813674915219
12,N,0.013993332299138914
12,O,0.007198110074494717
13,A,0.03727931780727193
13,C,0.01812901126461953
13,E,0.004363138409795184
13,N,0.0156224328158858
13,O,0.006883299991861067
14,A,0.03450240847124338
14,C,0.01933503727284035
14,E,0.0029073020613200576
14,N,0.015326618531211767
14,O,0.008199503985868167
15,A,0.032013887937879563
15,C,0.02066817722960515
15,E,0.0034355722460471666
15,N,0.01811061823892075
15,O,0.00843124663038735
16,A,0.03446602792148895
16,C,0.022328220047922436
16,E,0.0038098675859509334
16,N,0.015728317357902918
16,O,0.006733070711645933
17,A,0.029114578894608483
17,C,0.0240270043835151
17,E,0.0033045281544621503
17,N,0.014868934964633818
17,O,0.008088254307067918
18,A,0.029349031687375765
18,C,0.025955949412226034
18,E,0.0024738791612792833
18,N,0.015099826369042502
18,O,0.009871051101176016
19,A,0.029178490828809217
19,C,0.025982483761428
19,E,0.0031276737347213503
19,N,0.014390492309063868
19,O,0.009537129644971267
20,A,0.03054771893517382
20,C,0.028197276173683283
20,E,0.0042719619127759
20,N,0.0153972843093869
20,O,0.010090963488630466
21,A,0.029425139145588832
21,C,0.0312429024215513
21,E,0.003609166395944483
21,N,0.014207420832473732
21,O,0.010301297411385983
22,A,0.02904053952342835
22,C,0.032113710503768114
22,E,0.0026094674894481668
22,N,0.012898200079009216
22,O,0.009897858344043784
23,A,0.029167692725871566
23,C,0.031500663651463985
23,E,0.0027683813241280836
23,N,0.013490798130171051
23,O,0.009963979890990184
24,A,0.0294547248843962
24,C,0.0289617136950762
24,E,0.0033557759554003167
24,N,0.0138640662339691
24,O,0.00771923959898625
25,A,0.028294399956769897
25,C,0.028184143724204847
25,E,0.004700041039942467
25,N,0.012356883946368934
25,O,0.006825709826442317
26,A,0.029002228002271997
26,C,0.02879393294987567
26,E,0.0051719518121732
26,N,0.0129278457756054
26,O,0.00563117541077245
27,A,0.027439405034992936
27,C,0.028294716498222485
27,E,0.004079606070293107
27,N,0.012279886972771834
27,O,0.004747208929477566
28,A,0.026542430323615484
28,C,0.027932907879634632
28,E,0.004762200328848933
28,N,0.01332004925053925
28,O,0.004541531044158034
29,A,0.026380113888732782
29,C,0.02974857191474503
29,E,0.00594042138167385
29,N,0.015978705512072585
29,O,0.005656582669361933
30,A,0.03112195731164147
30,C,0.03789772189620838
30,E,0.01649794391754045
30,N,0.017292689697456416
30,O,0.008439492435071867
31,A,0.05717695623182164
31,C,0.07708991655673328
31,E,0.04882797357221073
31,N,0.0187425225273947
31,O,0.02506854142432445
