representation,interaction_order,energy_share,combinatorial_expected_share
activation,1,0.2007452021859868,0.16129032258064516
activation,2,0.3253455517941821,0.3225806451612903
activation,3,0.30376044656924234,0.3225806451612903
activation,4,0.14367919322339406,0.16129032258064516
activation,5,0.02542631792358746,0.03225806451612903
logits,1,0.26531536056962063,0.16129032258064516
logits,2,0.3428630331827967,0.3225806451612903
logits,3,0.2566619910891965,0.3225806451612903
logits,4,0.11872672655646278,0.16129032258064516
logits,5,0.021753406421974375,0.03225806451612903
weights,1,0.16199260732499163,0.16129032258064516
weights,2,0.3225159299634731,0.3225806451612903
weights,3,0.322401568939972,0.3225806451612903
weights,4,0.1609436419560505,0.16129032258064516
weights,5,0.03215845774902075,0.03225806451612903
