layer,transformation,spearman_rho
0,raw,0.0902414486921529
0,exposure_residualized,-0.07301983946690897
1,raw,0.03984188611630683
1,exposure_residualized,-0.030918846411804153
2,raw,0.04346873027018416
2,exposure_residualized,-0.02952888395868859
3,raw,0.05534959512696904
3,exposure_residualized,-0.03430711345295625
4,raw,0.07264427228080113
4,exposure_residualized,-0.026185264077131405
5,raw,0.08295039051513381
5,exposure_residualized,-0.03293239397283013
6,raw,0.08113362481831358
6,exposure_residualized,-0.03806199857994497
7,raw,0.10560007159280216
7,exposure_residualized,-0.014954143236742053
8,raw,0.10873471523176202
8,exposure_residualized,-0.015108638143622241
9,raw,0.09857542124693419
9,exposure_residualized,-0.01638786777360153
10,raw,0.1125203813300133
10,exposure_residualized,0.0026817798285313048
11,raw,0.12293683902043738
11,exposure_residualized,0.025084328060248098
12,raw,0.12072759135457908
12,exposure_residualized,0.007959487128046873
13,raw,0.1076858020065653
13,exposure_residualized,-0.012179135418572037
14,raw,0.08978150427491635
14,exposure_residualized,-0.020870875300679933
15,raw,0.08638763175337459
15,exposure_residualized,-0.010428553727054406
16,raw,0.0717760128709697
16,exposure_residualized,-0.02675594131750424
17,raw,0.07028829870719921
17,exposure_residualized,-0.019583778329802865
18,raw,0.07246706042707861
18,exposure_residualized,-0.01512456950894025
19,raw,0.07793682918626126
19,exposure_residualized,-0.00044873345645721836
20,raw,0.07084442136691113
20,exposure_residualized,-0.00889766753010733
21,raw,0.08074763340551619
21,exposure_residualized,0.009122673479783884
22,raw,0.08253824019385128
22,exposure_residualized,0.011664316298573453
23,raw,0.09304949934209361
23,exposure_residualized,0.0244546457631419
24,raw,0.09851484272202128
24,exposure_residualized,0.03171541467770454
25,raw,0.09562270986623553
25,exposure_residualized,0.03042644921336425
26,raw,0.09936245036199602
26,exposure_residualized,0.03150476662516644
27,raw,0.09326044241991538
27,exposure_residualized,0.026108852528661703
28,raw,0.08623372689706174
28,exposure_residualized,0.019333301863969744
29,raw,0.09522639256850977
29,exposure_residualized,0.034424041807049534
30,raw,0.09805302981132148
30,exposure_residualized,0.02636542618369061
31,raw,0.14342339471826068
31,exposure_residualized,0.05882351784214574
