ptype,layer,centroid_norm
0,0,0.10973030916666666
0,1,1.040794175
0,2,1.1485015083333334
0,3,1.3429389166666665
0,4,1.5123426233333335
0,5,1.6793085066666666
0,6,1.8229427333333332
0,7,2.05851625
0,8,2.2882596833333335
0,9,2.4411665
0,10,2.53058515
0,11,2.5931528833333335
0,12,2.854378366666667
0,13,3.0410508333333333
0,14,3.239591766666667
0,15,3.4188263833333337
0,16,3.9647756
0,17,4.442420116666667
0,18,4.890353783333333
0,19,5.195625466666667
0,20,5.5724650166666665
0,21,6.498512600000001
0,22,7.123932333333333
0,23,7.8576036
0,24,8.49777915
0,25,9.20941285
0,26,10.058104416666668
0,27,10.933206083333332
0,28,11.772055166666668
0,29,13.694132166666668
0,30,18.047764666666666
0,31,36.57726433333333
1,0,0.12081089333333334
1,1,1.016845525
1,2,1.1155980866666668
1,3,1.3007296166666666
1,4,1.5002068583333334
1,5,1.6898812166666666
1,6,1.8434268500000002
1,7,2.1039709166666665
1,8,2.3200210166666664
1,9,2.4413401166666664
1,10,2.56438695
1,11,2.637375583333333
1,12,2.9051878666666666
1,13,3.0852761166666665
1,14,3.2295229333333335
1,15,3.3905622999999996
1,16,3.9204364666666667
1,17,4.398223416666666
1,18,4.842238966666667
1,19,5.124611266666666
1,20,5.492985466666667
1,21,6.356899583333334
1,22,6.959349416666666
1,23,7.729756500000001
1,24,8.475964783333334
1,25,9.192458366666667
1,26,10.1016771
1,27,10.988656033333333
1,28,11.721488333333333
1,29,13.555253666666667
1,30,17.785618499999998
1,31,36.72558566666667
2,0,0.11177986666666667
2,1,0.70907742
2,2,0.8046095533333334
2,3,0.9899024083333333
2,4,1.212966205
2,5,1.39102575
2,6,1.5669816
2,7,1.7880699166666665
2,8,2.0088055833333334
2,9,2.1692551166666667
2,10,2.2714776333333333
2,11,2.3583547
2,12,2.6616079999999998
2,13,2.8665166
2,14,3.025184833333333
2,15,3.2699926666666665
2,16,3.9290305666666665
2,17,4.461887016666666
2,18,4.927841533333333
2,19,5.2462697
2,20,5.661841466666666
2,21,6.648202616666667
2,22,7.318903133333333
2,23,8.084003066666666
2,24,8.777788983333332
2,25,9.515262816666667
