ptype,common_drift_projection
0,5.752662795833333
1,5.77977388046875
2,5.608327383333333
3,5.208571724671875
4,5.947139223723958
5,6.087846523973958
6,5.881726018177083
7,2.6815916940322917
8,5.9745753855729165
9,6.093760837864584
10,6.044992194166666
11,5.89631888996875
12,6.098412285223958
13,5.187928491609375
14,6.012369598723958
15,6.00438166328125
16,5.938469344406251
17,5.987155036927084
18,5.432155702411458
19,5.652064864541667
20,5.797332273140625
21,5.7400619428125
22,4.854843878890625
23,2.5950025515416666
24,6.058431509932292
25,5.942271082375
26,5.784203709067708
27,5.71169292521875
28,5.993712502859375
29,5.927757015020833
30,6.149768770432292
31,5.781408496906249
