group,category,split,prompt_count,mean_token_count,min_token_count,max_token_count,legacy_core_count
ipip_stems,A1,test,1,9.0,9,9,1
ipip_stems,A1,train,2,5.0,4,6,2
ipip_stems,A1,validation,1,6.0,6,6,1
ipip_stems,A2,test,1,8.0,8,8,1
ipip_stems,A2,train,2,6.5,6,7,2
ipip_stems,A2,validation,1,7.0,7,7,1
ipip_stems,A3,test,1,6.0,6,6,1
ipip_stems,A3,train,2,7.5,6,9,2
ipip_stems,A3,validation,1,7.0,7,7,1
ipip_stems,A4,test,1,6.0,6,6,1
ipip_stems,A4,train,2,5.5,5,6,2
ipip_stems,A4,validation,1,6.0,6,6,1
ipip_stems,A5,test,1,6.0,6,6,1
ipip_stems,A5,train,2,7.5,7,8,2
ipip_stems,A5,validation,1,10.0,10,10,1
ipip_stems,A6,test,1,9.0,9,9,1
ipip_stems,A6,train,2,11.0,10,12,2
ipip_stems,A6,validation,1,9.0,9,9,1
ipip_stems,C1,test,1,5.0,5,5,1
ipip_stems,C1,train,2,6.5,5,8,2
ipip_stems,C1,validation,1,7.0,7,7,1
ipip_stems,C2,test,1,8.0,8,8,1
ipip_stems,C2,train,2,9.0,6,12,2
ipip_stems,C2,validation,1,6.0,6,6,1
ipip_stems,C3,test,1,5.0,5,5,1
ipip_stems,C3,train,2,5.0,5,5,2
ipip_stems,C3,validation,1,4.0,4,4,1
ipip_stems,C4,test,1,4.0,4,4,1
ipip_stems,C4,train,2,10.0,10,10,2
ipip_stems,C4,validation,1,9.0,9,9,1
ipip_stems,C5,test,1,7.0,7,7,1
ipip_stems,C5,train,2,5.5,5,6,2
ipip_stems,C5,validation,1,6.0,6,6,1
ipip_stems,C6,test,1,6.0,6,6,1
ipip_stems,C6,train,2,6.0,5,7,2
ipip_stems,C6,validation,1,5.0,5,5,1
ipip_stems,E1,test,1,7.0,7,7,1
ipip_stems,E1,train,2,6.0,6,6,2
ipip_stems,E1,validation,1,5.0,5,5,1
ipip_stems,E2,test,1,7.0,7,7,1
ipip_stems,E2,train,2,4.5,4,5,2
ipip_stems,E2,validation,1,11.0,11,11,1
ipip_stems,E3,test,1,9.0,9,9,1
ipip_stems,E3,train,2,6.0,6,6,2
ipip_stems,E3,validation,1,4.0,4,4,1
ipip_stems,E4,test,1,7.0,7,7,1
ipip_stems,E4,train,2,6.0,5,7,2
ipip_stems,E4,validation,1,9.0,9,9,1
ipip_stems,E5,test,1,4.0,4,4,1
ipip_stems,E5,train,2,5.5,5,6,2
ipip_stems,E5,validation,1,4.0,4,4,1
ipip_stems,E6,test,1,9.0,9,9,1
ipip_stems,E6,train,2,4.5,4,5,2
ipip_stems,E6,validation,1,7.0,7,7,1
ipip_stems,N1,test,1,7.0,7,7,1
ipip_stems,N1,train,2,6.0,6,6,2
ipip_stems,N1,validation,1,6.0,6,6,1
ipip_stems,N2,test,1,6.0,6,6,1
ipip_stems,N2,train,2,5.5,5,6,2
ipip_stems,N2,validation,1,5.0,5,5,1
ipip_stems,N3,test,1,6.0,6,6,1
ipip_stems,N3,train,2,6.5,5,8,2
ipip_stems,N3,validation,1,5.0,5,5,1
ipip_stems,N4,test,1,9.0,9,9,1
ipip_stems,N4,train,2,8.5,8,9,2
ipip_stems,N4,validation,1,7.0,7,7,1
ipip_stems,N5,test,1,8.0,8,8,1
ipip_stems,N5,train,2,7.5,7,8,2
ipip_stems,N5,validation,1,6.0,6,6,1
ipip_stems,N6,test,1,7.0,7,7,1
ipip_stems,N6,train,2,5.5,5,6,2
ipip_stems,N6,validation,1,11.0,11,11,1
ipip_stems,O1,test,1,8.0,8,8,1
ipip_stems,O1,train,2,6.5,6,7,2
ipip_stems,O1,validation,1,6.0,6,6,1
ipip_stems,O2,test,1,6.0,6,6,1
ipip_stems,O2,train,2,10.0,9,11,2
ipip_stems,O2,validation,1,9.0,9,9,1
ipip_stems,O3,test,1,6.0,6,6,1
ipip_stems,O3,train,2,7.5,6,9,2
ipip_stems,O3,validation,1,8.0,8,8,1
ipip_stems,O4,test,1,7.0,7,7,1
ipip_stems,O4,train,2,9.0,7,11,2
ipip_stems,O4,validation,1,5.0,5,5,1
ipip_stems,O5,test,1,8.0,8,8,1
ipip_stems,O5,train,2,7.0,7,7,2
ipip_stems,O5,validation,1,5.0,5,5,1
ipip_stems,O6,test,1,10.0,10,10,1
ipip_stems,O6,train,2,11.5,11,12,2
ipip_stems,O6,validation,1,10.0,10,10,1
naturalistic_behavioral,conflict,test,12,18.0,15,19,3
naturalistic_behavioral,conflict,train,36,17.63888888888889,15,19,4
naturalistic_behavioral,conflict,validation,12,18.083333333333332,15,19,5
naturalistic_behavioral,cooperation,test,12,19.166666666666668,17,22,2
naturalistic_behavioral,cooperation,train,36,19.63888888888889,17,22,9
naturalistic_behavioral,cooperation,validation,12,18.916666666666668,17,22,1
naturalistic_behavioral,deadlines,test,12,18.916666666666668,17,20,3
naturalistic_behavioral,deadlines,train,36,18.444444444444443,17,20,6
naturalistic_behavioral,deadlines,validation,12,18.75,17,20,3
naturalistic_behavioral,disagreement,test,12,18.166666666666668,17,20,3
naturalistic_behavioral,disagreement,train,36,18.27777777777778,17,20,8
naturalistic_behavioral,disagreement,validation,12,18.0,17,20,1
naturalistic_behavioral,emotional_response,test,12,18.5,16,19,2
naturalistic_behavioral,emotional_response,train,36,17.666666666666668,16,19,5
