ptype,adapter,ocean_bit_string,human_readable_profile,O_high,C_high,E_high,A_high,N_high,row_count,unique_trait_tuple_proxy_count,nominal_optimizer_steps,effective_update_frobenius_norm,effective_update_spectral_aggregate_norm,adapter_sha256,row_weighted_O_centroid,unique_tuple_weighted_O_centroid,row_weighted_C_centroid,unique_tuple_weighted_C_centroid,row_weighted_E_centroid,unique_tuple_weighted_E_centroid,row_weighted_A_centroid,unique_tuple_weighted_A_centroid,row_weighted_N_centroid,unique_tuple_weighted_N_centroid
0,ptype_0,00000,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,0,0,0,0,0,159137,79,4974,85.08547792018025,54.94457247451469,e7eba65dbc9560dac32ca75c0f8a9fc9c7f19ff09b8503c57b00bf36dd20754a,24.550927816912477,22.582278481012654,27.695155746306643,27.9873417721519,23.523259832722747,24.139240506329116,21.73083569503007,19.455696202531644,23.49703714409597,25.72151898734177
1,ptype_1,00001,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,0,0,0,0,1,181124,114,5661,86.5815953687653,55.591496118018796,136d4980565bbcff6ea16a0db4e698f6e15a91842e590183ac3689d7f2c47531,17.416002296769065,20.13157894736842,26.62415803537908,28.13157894736842,23.77359709370376,20.026315789473685,14.112585852785935,15.491228070175438,82.72053399880744,81.3157894736842
2,ptype_2,00010,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,0,0,0,1,0,54646,26,1708,46.37311659108737,32.97017737547423,b0d55bbb8075424d86a944d914277d2c93c5dff08bd0b4bfabf7210dccd7a697,15.407806609815903,21.23076923076923,39.00761263404458,35.34615384615385,26.312209493833038,23.53846153846154,81.1944332613549,82.38461538461539,10.69221900962559,17.03846153846154
3,ptype_3,00011,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,0,0,0,1,1,36335,16,1136,37.1726095271961,27.95289114916487,6540388ea2b6f3bb2c40701b1010723614c1c1129790d2b081b1319bf3fd4f4c,8.36642355855236,16.6875,41.60476124948397,36.75,25.986596945094263,18.75,84.68226228154671,74.1875,80.65350213292969,80.9375
4,ptype_4,00100,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,0,0,1,0,0,86106,58,2691,63.48952969694211,43.15349141518823,b235522bdff7b2e50751f13be32468be143b8c121cbd7a68ff6058001217be75,16.832764267298447,16.948275862068964,22.844459154995008,25.189655172413797,75.5349452999791,77.46551724137932,20.82147585534109,19.03448275862069,27.589726616031403,20.724137931034484
5,ptype_5,00101,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,0,0,1,0,1,26428,27,826,30.38212816985918,22.235868759565644,15190b4cf99e16295371ab5dd6572321a1cc5512169a44022b7f86f6b9a6e620,11.219275011351597,20.074074074074076,28.65623581050401,28.0,71.71462085666717,76.07407407407408,11.546163160284546,13.37037037037037,76.50889208415317,81.07407407407408
6,ptype_6,00110,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,0,0,1,1,0,78856,35,2465,57.99799157832508,40.129534101302035,849d142b7df935676abc97ec36219da121cbfd9356b1f14e2308ec3c99864e85,15.763188596936187,13.4,29.406005884143248,32.27142857142857,84.28598965202394,82.58571428571429,76.06014761083495,76.9,21.40681749010855,16.17142857142857
7,ptype_7,00111,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,0,0,1,1,1,498,2,16,3.4706557414516435,1.9146531724613978,f7d2f0dbff7df004f0345382db64900992be8753378de90bbd42f09177ae49ba,15.736947791164658,21.5,39.68273092369478,41.0,85.27510040160642,80.5,80.96385542168674,78.0,77.34136546184739,78.0
8,ptype_8,01000,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,0,1,0,0,0,197647,116,6177,97.79883839646891,62.725668751655796,337a2335548ba65cb89bba57ab0a7352755d85baed64915e8c2980451e48506a,25.02686607942443,22.92241379310345,77.05902948185401,77.80172413793103,23.12154497665029,21.57758620689655,17.83762971358027,21.93103448275862,29.317910213663755,26.103448275862068
9,ptype_9,01001,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,0,1,0,0,1,345069,150,10784,131.5950875940946,74.6658537204308,7c1ef6e75d7f69791c562e8e12a118e910b6a73b5e20f9fb507400bafd5fa5bd,19.21957927255129,21.126666666666665,76.64039655836949,77.89666666666666,12.247759143823409,16.26,19.42420211609852,18.49,84.59528384178236,84.40333333333334
10,ptype_10,01010,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,0,1,0,1,0,270927,79,8467,121.85633957390964,74.09615182890539,9375ef6f11e082e13263ab8a7bb79707ab1f9790dc3d0ba03740d6652e749edd,19.41821597699749,19.9746835443038,79.28441978835627,80.4493670886076,20.22797284877476,18.734177215189877,81.84609507358071,79.32911392405063,21.98823299265116,22.632911392405063
11,ptype_11,01011,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,0,1,0,1,1,123675,58,3865,73.36123484729148,50.48684639395238,dcb3a1aef6a687cbfc462345339def711d98859e09ecce139988c05533c6e18c,21.9347321609056,24.55172413793104,75.82892257934101,80.74137931034483,19.004463311097638,18.74137931034483,64.7212694562361,74.3103448275862,76.5674388518294,75.96551724137932
12,ptype_12,01100,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,0,1,1,0,0,102199,74,3194,68.52608700190028,46.493633693950464,34a38462b38f96b72d6ecbfab19407a8117c95aafca7173b74fd11105541e584,16.272610299513694,16.493243243243242,80.26742433879001,78.27702702702703,79.44265599467705,77.0945945945946,15.521976731670565,22.16891891891892,17.866794195637922,19.18243243243243
13,ptype_13,01101,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,0,1,1,0,1,64344,44,2011,49.702891616922784,34.96306500452719,e7198347ce4e749c01ffe83e3d369b214f992b6fca1bd198c0fd915619b636be,23.42572734054457,21.363636363636363,74.003714410046,78.86363636363636,77.56667288325252,73.54545454545455,21.961736914086785,20.63636363636364,75.90423349496457,78.5909090909091
14,ptype_14,01110,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,0,1,1,1,0,67423,52,2107,54.61930982953889,38.553129219463614,7790c00b653464b877e091d0520522cbc957264c115f954759b08cc8b138c2b4,29.03842160687006,19.721153846153847,83.73101167257464,83.3076923076923,73.32320573098201,78.9326923076923,69.48929890393485,78.36538461538461,24.752399032970946,16.884615384615383
15,ptype_15,01111,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,0,1,1,1,1,19430,14,608,26.492124229095563,19.963999496163336,1a301383510cdc66ffd8782d9e0279ecd3a51008d78b538fb4f5695fe779cdfd,15.049202264539373,21.5,81.93216675244467,86.5,87.1385486361297,79.0,70.14889346371591,69.14285714285714,66.28255275347401,72.0
16,ptype_16,10000,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,1,0,0,0,0,60871,29,1903,46.33667510810194,31.48082776975628,28c824e72085ccb507fa58e526c3eb651e18175aea1c42fac8cc24ef2a1d453f,75.61224556849731,76.44827586206897,25.744607448538712,28.310344827586206,26.800709697557128,27.724137931034484,28.767311199093164,19.86206896551724,21.489576317129668,22.655172413793103
17,ptype_17,10001,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,1,0,0,0,1,125443,47,3921,80.02928063812284,55.36714880179251,6824a834ee45bc721b3246624fbe5d14b03bf91f3803068df36ba3570fd3ca02,72.12002263976467,74.36170212765957,35.29052238865461,28.06382978723404,19.13264191704599,22.95744680851064,12.54656696667012,11.319148936170214,78.26405618488079,83.63829787234043
