layer_band,prompt_group,pooling_rule,effect_l2_rms_over_prompts
early_0_7,ipip_stems,final_token,1.6329421290865866
early_0_7,ipip_stems,mean_tokens,2.721909408646752
early_0_7,naturalistic_behavioral,final_token,1.2015341567748692
early_0_7,naturalistic_behavioral,mean_tokens,1.1474179486103822
early_0_7,neutral_controls,final_token,1.371913620721898
early_0_7,neutral_controls,mean_tokens,1.6816469302139012
late_25_31,ipip_stems,final_token,30.9388972393104
late_25_31,ipip_stems,mean_tokens,18.524952298828534
late_25_31,naturalistic_behavioral,final_token,24.677411620106017
late_25_31,naturalistic_behavioral,mean_tokens,15.320312593664442
late_25_31,neutral_controls,final_token,30.07512953025954
late_25_31,neutral_controls,mean_tokens,17.028073649321282
middle_8_24,ipip_stems,final_token,9.443897057324648
middle_8_24,ipip_stems,mean_tokens,6.14661072369884
middle_8_24,naturalistic_behavioral,final_token,7.29173551609411
middle_8_24,naturalistic_behavioral,mean_tokens,4.438919639543576
middle_8_24,neutral_controls,final_token,8.88034650354701
middle_8_24,neutral_controls,mean_tokens,5.271737486562309
