layer_band,trait,prompt_group,pooling_rule,mean_pairwise_cosine
early_0_7,A,ipip_stems,final_token,0.04114744745160854
early_0_7,A,ipip_stems,mean_tokens,0.03234103072606609
early_0_7,A,naturalistic_behavioral,final_token,0.035760611880295626
early_0_7,A,naturalistic_behavioral,mean_tokens,0.0288447734209667
early_0_7,A,neutral_controls,final_token,0.048109731256739674
early_0_7,A,neutral_controls,mean_tokens,0.033234282212555026
early_0_7,C,ipip_stems,final_token,0.028966024110295724
early_0_7,C,ipip_stems,mean_tokens,0.009399659169727638
early_0_7,C,naturalistic_behavioral,final_token,0.02146659676941315
early_0_7,C,naturalistic_behavioral,mean_tokens,0.007745294363606087
early_0_7,C,neutral_controls,final_token,0.03720591063662841
early_0_7,C,neutral_controls,mean_tokens,0.009751916255476875
early_0_7,E,ipip_stems,final_token,0.014415315580388288
early_0_7,E,ipip_stems,mean_tokens,0.00011031320269825002
early_0_7,E,naturalistic_behavioral,final_token,0.011101182552574062
early_0_7,E,naturalistic_behavioral,mean_tokens,0.0016033881141085
early_0_7,E,neutral_controls,final_token,0.013558895405545212
early_0_7,E,neutral_controls,mean_tokens,0.0006175842524194499
early_0_7,N,ipip_stems,final_token,0.0074374110878203505
early_0_7,N,ipip_stems,mean_tokens,0.038682211672386786
early_0_7,N,naturalistic_behavioral,final_token,0.01131413727109
early_0_7,N,naturalistic_behavioral,mean_tokens,0.035488805663027215
early_0_7,N,neutral_controls,final_token,0.019027581358385125
early_0_7,N,neutral_controls,mean_tokens,0.040445309870362774
early_0_7,O,ipip_stems,final_token,0.002703838243518525
early_0_7,O,ipip_stems,mean_tokens,0.00668781837959005
early_0_7,O,naturalistic_behavioral,final_token,0.0027001347918974876
early_0_7,O,naturalistic_behavioral,mean_tokens,0.003192502236540075
early_0_7,O,neutral_controls,final_token,0.004013970160781
early_0_7,O,neutral_controls,mean_tokens,0.005158406695704488
late_25_31,A,ipip_stems,final_token,0.03444832724322294
late_25_31,A,ipip_stems,mean_tokens,0.035251476680685
late_25_31,A,naturalistic_behavioral,final_token,0.0184825166833463
late_25_31,A,naturalistic_behavioral,mean_tokens,0.023237478042788574
late_25_31,A,neutral_controls,final_token,0.04421716104479994
