subset,ptype,included
all_32,0,True
all_32,1,True
all_32,2,True
all_32,3,True
all_32,4,True
all_32,5,True
all_32,6,True
all_32,7,True
all_32,8,True
all_32,9,True
all_32,10,True
all_32,11,True
all_32,12,True
all_32,13,True
all_32,14,True
all_32,15,True
all_32,16,True
all_32,17,True
all_32,18,True
all_32,19,True
all_32,20,True
all_32,21,True
all_32,22,True
all_32,23,True
all_32,24,True
all_32,25,True
all_32,26,True
all_32,27,True
all_32,28,True
all_32,29,True
all_32,30,True
all_32,31,True
exposure_quartile_1,5,True
exposure_quartile_1,7,True
exposure_quartile_1,15,True
exposure_quartile_1,18,True
exposure_quartile_1,19,True
exposure_quartile_1,21,True
exposure_quartile_1,22,True
exposure_quartile_1,23,True
exposure_quartile_4,0,True
exposure_quartile_4,1,True
exposure_quartile_4,8,True
exposure_quartile_4,9,True
exposure_quartile_4,10,True
exposure_quartile_4,11,True
exposure_quartile_4,17,True
exposure_quartile_4,25,True
pair_row_ratio_le_1_5,0,True
pair_row_ratio_le_1_5,1,True
pair_row_ratio_le_1_5,2,True
pair_row_ratio_le_1_5,3,True
pair_row_ratio_le_1_5,4,True
pair_row_ratio_le_1_5,5,True
pair_row_ratio_le_1_5,6,True
pair_row_ratio_le_1_5,7,True
pair_row_ratio_le_1_5,8,True
pair_row_ratio_le_1_5,9,True
pair_row_ratio_le_1_5,10,True
pair_row_ratio_le_1_5,11,True
pair_row_ratio_le_1_5,12,True
pair_row_ratio_le_1_5,13,True
pair_row_ratio_le_1_5,14,True
pair_row_ratio_le_1_5,15,True
pair_row_ratio_le_1_5,16,True
pair_row_ratio_le_1_5,17,True
pair_row_ratio_le_1_5,18,True
pair_row_ratio_le_1_5,19,True
pair_row_ratio_le_1_5,20,True
pair_row_ratio_le_1_5,21,True
pair_row_ratio_le_1_5,22,True
pair_row_ratio_le_1_5,23,True
pair_row_ratio_le_1_5,24,True
pair_row_ratio_le_1_5,25,True
pair_row_ratio_le_1_5,26,True
pair_row_ratio_le_1_5,27,True
pair_row_ratio_le_1_5,28,True
pair_row_ratio_le_1_5,29,True
pair_row_ratio_le_1_5,30,True
pair_row_ratio_le_1_5,31,True
pair_row_ratio_le_2_0,0,True
pair_row_ratio_le_2_0,1,True
pair_row_ratio_le_2_0,2,True
pair_row_ratio_le_2_0,3,True
pair_row_ratio_le_2_0,4,True
pair_row_ratio_le_2_0,5,True
pair_row_ratio_le_2_0,6,True
pair_row_ratio_le_2_0,7,True
pair_row_ratio_le_2_0,8,True
pair_row_ratio_le_2_0,9,True
pair_row_ratio_le_2_0,10,True
pair_row_ratio_le_2_0,11,True
pair_row_ratio_le_2_0,12,True
pair_row_ratio_le_2_0,13,True
pair_row_ratio_le_2_0,14,True
pair_row_ratio_le_2_0,15,True
pair_row_ratio_le_2_0,16,True
pair_row_ratio_le_2_0,17,True
pair_row_ratio_le_2_0,18,True
pair_row_ratio_le_2_0,19,True
pair_row_ratio_le_2_0,20,True
pair_row_ratio_le_2_0,21,True
pair_row_ratio_le_2_0,22,True
pair_row_ratio_le_2_0,23,True
pair_row_ratio_le_2_0,24,True
pair_row_ratio_le_2_0,25,True
pair_row_ratio_le_2_0,26,True
pair_row_ratio_le_2_0,27,True
pair_row_ratio_le_2_0,28,True
pair_row_ratio_le_2_0,29,True
pair_row_ratio_le_2_0,30,True
pair_row_ratio_le_2_0,31,True
rows_ge_1000,0,True
rows_ge_1000,1,True
rows_ge_1000,2,True
rows_ge_1000,3,True
rows_ge_1000,4,True
rows_ge_1000,5,True
rows_ge_1000,6,True
rows_ge_1000,8,True
rows_ge_1000,9,True
rows_ge_1000,10,True
rows_ge_1000,11,True
rows_ge_1000,12,True
rows_ge_1000,13,True
rows_ge_1000,14,True
rows_ge_1000,15,True
rows_ge_1000,16,True
rows_ge_1000,17,True
rows_ge_1000,18,True
rows_ge_1000,19,True
rows_ge_1000,20,True
rows_ge_1000,21,True
rows_ge_1000,22,True
rows_ge_1000,24,True
rows_ge_1000,25,True
rows_ge_1000,26,True
rows_ge_1000,27,True
rows_ge_1000,28,True
rows_ge_1000,29,True
rows_ge_1000,30,True
rows_ge_1000,31,True
rows_ge_10000,0,True
rows_ge_10000,1,True
rows_ge_10000,2,True
rows_ge_10000,3,True
rows_ge_10000,4,True
rows_ge_10000,5,True
rows_ge_10000,6,True
rows_ge_10000,8,True
rows_ge_10000,9,True
rows_ge_10000,10,True
rows_ge_10000,11,True
rows_ge_10000,12,True
rows_ge_10000,13,True
rows_ge_10000,14,True
rows_ge_10000,15,True
rows_ge_10000,16,True
rows_ge_10000,17,True
rows_ge_10000,18,True
rows_ge_10000,19,True
rows_ge_10000,20,True
rows_ge_10000,21,True
rows_ge_10000,22,True
rows_ge_10000,24,True
rows_ge_10000,25,True
rows_ge_10000,26,True
rows_ge_10000,27,True
rows_ge_10000,28,True
rows_ge_10000,29,True
rows_ge_10000,30,True
rows_ge_10000,31,True
rows_ge_50000,0,True
rows_ge_50000,1,True
rows_ge_50000,2,True
rows_ge_50000,4,True
rows_ge_50000,6,True
rows_ge_50000,8,True
rows_ge_50000,9,True
rows_ge_50000,10,True
rows_ge_50000,11,True
rows_ge_50000,12,True
rows_ge_50000,13,True
rows_ge_50000,14,True
rows_ge_50000,16,True
rows_ge_50000,17,True
rows_ge_50000,20,True
rows_ge_50000,24,True
rows_ge_50000,25,True
rows_ge_50000,26,True
rows_ge_50000,28,True
rows_ge_50000,29,True
rows_ge_50000,30,True
rows_ge_50000,31,True
