ptype,profile,heldout_recall,nearest_competing_ptype,nearest_competing_profile,competing_error_count,correct_count,classification_count
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,0.3680555555555556,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,34.0,53.0,144.0
1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,0.3680555555555556,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,40.0,53.0,144.0
2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,0.5138888888888888,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,31.0,74.0,144.0
3,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,0.5486111111111112,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,33.0,79.0,144.0
4,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,0.3611111111111111,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,32.0,52.0,144.0
5,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,0.3333333333333333,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,46.0,48.0,144.0
6,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,0.4652777777777778,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,30.0,67.0,144.0
7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,0.8263888888888888,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,5.0,119.0,144.0
8,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,0.2986111111111111,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,48.0,43.0,144.0
9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,0.7569444444444444,8,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,6.0,109.0,144.0
10,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,0.4861111111111111,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,34.0,70.0,144.0
11,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,0.4236111111111111,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,42.0,61.0,144.0
12,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,0.2361111111111111,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,52.0,34.0,144.0
13,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,0.4444444444444444,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,28.0,64.0,144.0
14,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,0.24305555555555555,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,50.0,35.0,144.0
15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,0.5833333333333334,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,26.0,84.0,144.0
16,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,0.5277777777777778,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,21.0,76.0,144.0
17,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,0.4027777777777778,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,37.0,58.0,144.0
18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,0.5833333333333334,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,30.0,84.0,144.0
19,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,0.6875,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,23.0,99.0,144.0
20,Openness high; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,0.3819444444444444,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,37.0,55.0,144.0
21,Openness high; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,0.7430555555555556,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,18.0,107.0,144.0
22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,0.6180555555555556,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,29.0,89.0,144.0
23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,0.8888888888888888,27,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,4.0,128.0,144.0
24,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,0.3333333333333333,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,44.0,48.0,144.0
25,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,0.3472222222222222,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,50.0,50.0,144.0
26,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,0.6180555555555556,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,24.0,89.0,144.0
27,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,0.4513888888888889,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,33.0,65.0,144.0
28,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,0.3541666666666667,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,36.0,51.0,144.0
29,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,0.3680555555555556,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,41.0,53.0,144.0
30,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,0.3958333333333333,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,45.0,57.0,144.0
31,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,0.5277777777777778,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,30.0,76.0,144.0
