ptype,adapter,human_readable_profile,total_raw_rows,total_tokens_before_truncation,total_retained_tokens_after_512,mean_token_length,median_token_length,token_length_std_population,token_length_p05,token_length_p25,token_length_p75,token_length_p95,fraction_rows_truncated,nominal_optimizer_steps,estimated_retained_tokens_processed_training,unique_trait_tuple_proxy_count
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,159137,8729109,8358481,54.852793504967416,26.0,100.15993687349446,4.0,12.0,58.0,195.0,0.0069562703833803575,4974,8358481,79
1,ptype_1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,181124,7388869,7018725,40.79453302709746,21.0,86.45600475049805,4.0,10.0,43.0,130.0,0.004168415008502463,5661,7018725,114
2,ptype_2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,54646,2995995,2929674,54.82551330380998,30.0,83.2173447874421,5.0,15.0,60.0,184.0,0.0052702851077846505,1708,2929674,26
3,ptype_3,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,36335,1394053,1347830,38.36667125361222,22.0,71.2162601741594,5.0,11.0,42.0,116.0,0.0027796890050915094,1136,1347830,16
4,ptype_4,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,86106,5080442,4862970,59.00218335539916,30.0,101.91379376511215,5.0,14.0,63.0,204.0,0.008024992451164843,2691,4862970,58
5,ptype_5,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,26428,1301115,1284928,49.23244286362949,26.5,70.9089377980283,5.0,13.0,58.0,165.0,0.002951415165733313,826,1284928,27
6,ptype_6,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,78856,5424556,5312327,68.79065638632444,39.0,92.29209820366123,6.0,18.0,84.0,228.0,0.006201176828649691,2465,5312327,35
7,ptype_7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,498,55479,53276,111.40361445783132,75.0,124.22815415244827,20.0,49.0,126.0,351.15,0.020080321285140562,16,53276,2
8,ptype_8,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,197647,10322965,9835434,52.229302746816295,25.0,105.82114339603987,5.0,12.0,55.0,180.0,0.007225002150298259,6177,9835434,116
9,ptype_9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,345069,17522764,16732444,50.78046419701567,25.0,94.2315067661784,4.0,12.0,55.0,169.0,0.006172678507776705,10784,16732444,150
10,ptype_10,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,270927,14904153,14610983,55.01169318672557,30.0,80.57225619249391,5.0,14.0,65.0,184.0,0.004181938308105136,8467,14610983,79
