cluster_a,cluster_b,distance,count
7.000000000000000000e+00,2.300000000000000000e+01,4.747622575977820780e+00,2.000000000000000000e+00
2.200000000000000000e+01,3.200000000000000000e+01,2.020870253084371271e+01,3.000000000000000000e+00
1.800000000000000000e+01,3.300000000000000000e+01,2.411179423592869497e+01,4.000000000000000000e+00
1.500000000000000000e+01,3.400000000000000000e+01,2.986942851958573897e+01,5.000000000000000000e+00
5.000000000000000000e+00,3.500000000000000000e+01,3.464227599928137380e+01,6.000000000000000000e+00
1.900000000000000000e+01,3.600000000000000000e+01,3.774662891635681916e+01,7.000000000000000000e+00
2.100000000000000000e+01,3.700000000000000000e+01,3.917410826812282920e+01,8.000000000000000000e+00
2.700000000000000000e+01,3.800000000000000000e+01,4.339496313621253165e+01,9.000000000000000000e+00
3.000000000000000000e+00,3.900000000000000000e+01,4.448608271077471699e+01,1.000000000000000000e+01
2.000000000000000000e+00,4.000000000000000000e+01,5.309298299016795397e+01,1.100000000000000000e+01
1.600000000000000000e+01,4.100000000000000000e+01,5.417021479110346860e+01,1.200000000000000000e+01
2.000000000000000000e+01,4.200000000000000000e+01,5.633153940879072508e+01,1.300000000000000000e+01
1.300000000000000000e+01,4.300000000000000000e+01,5.869885137353976745e+01,1.400000000000000000e+01
1.400000000000000000e+01,4.400000000000000000e+01,6.363122518348272649e+01,1.500000000000000000e+01
2.600000000000000000e+01,4.500000000000000000e+01,6.718234878551567135e+01,1.600000000000000000e+01
2.900000000000000000e+01,4.600000000000000000e+01,6.816949606823317254e+01,1.700000000000000000e+01
6.000000000000000000e+00,4.700000000000000000e+01,6.898317965226036108e+01,1.800000000000000000e+01
2.800000000000000000e+01,4.800000000000000000e+01,7.180142333397795085e+01,1.900000000000000000e+01
3.000000000000000000e+01,4.900000000000000000e+01,7.286352256417136175e+01,2.000000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+01,7.556178306847445469e+01,2.100000000000000000e+01
3.100000000000000000e+01,5.100000000000000000e+01,7.803072024385652128e+01,2.200000000000000000e+01
1.200000000000000000e+01,5.200000000000000000e+01,8.111630636777722714e+01,2.300000000000000000e+01
1.100000000000000000e+01,5.300000000000000000e+01,8.582504617894295507e+01,2.400000000000000000e+01
2.400000000000000000e+01,5.400000000000000000e+01,9.021486421329194627e+01,2.500000000000000000e+01
1.700000000000000000e+01,5.500000000000000000e+01,9.303388102491432221e+01,2.600000000000000000e+01
0.000000000000000000e+00,5.600000000000000000e+01,9.813367180533481360e+01,2.700000000000000000e+01
1.000000000000000000e+00,5.700000000000000000e+01,1.002532506069303224e+02,2.800000000000000000e+01
8.000000000000000000e+00,5.800000000000000000e+01,1.108414138766770805e+02,2.900000000000000000e+01
2.500000000000000000e+01,5.900000000000000000e+01,1.219846452706608630e+02,3.000000000000000000e+01
1.000000000000000000e+01,6.000000000000000000e+01,1.347530038627732267e+02,3.100000000000000000e+01
9.000000000000000000e+00,6.100000000000000000e+01,1.447848436651510440e+02,3.200000000000000000e+01
