ptype,adapter,human_readable_profile,layer,target_module,matrix_rows,matrix_columns,rank,lora_alpha,scale,a_norm,b_norm,effective_update_frobenius_norm,effective_update_spectral_norm,spectral_to_frobenius_ratio
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,0,down_proj,4096,14336,16,32.0,2.0,5.38504721136433,2.0058198115904573,7.983287786797241,6.508219499876165,0.8152304756743777
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,0,gate_proj,14336,4096,16,32.0,2.0,3.7023936063574365,4.329603659102455,9.819874025078143,7.166933457447136,0.7298396536599261
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,0,k_proj,1024,4096,16,32.0,2.0,3.4490599404353675,1.1433313055338068,3.126498238530729,2.7944574630814905,0.893797869016143
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,0,o_proj,4096,4096,16,32.0,2.0,2.9039559431675945,1.7458048244057631,3.0906536686040815,2.3107642376970166,0.747661978813916
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,0,q_proj,4096,4096,16,32.0,2.0,3.481649385641793,2.1273811819606143,5.409577978703282,4.44747800222204,0.82214879233299
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,0,up_proj,14336,4096,16,32.0,2.0,3.6441025959083935,4.300319391153551,8.97498373490495,5.934202250059987,0.6611936495195034
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,0,v_proj,1024,4096,16,32.0,2.0,3.1460884933004696,0.7289785986432366,1.404672925656409,0.9695167169703992,0.6902081611043656
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,1,down_proj,4096,14336,16,32.0,2.0,5.071634020909573,1.2948599574002235,7.641361939202911,7.370164393214886,0.9645092657374749
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,1,gate_proj,14336,4096,16,32.0,2.0,3.697393309429389,4.3242763558658455,9.49555738640541,6.525609171619693,0.6872276061395058
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,1,k_proj,1024,4096,16,32.0,2.0,3.376921187650979,0.7637788072747387,1.478807140088995,0.8066041478882255,0.5454424218155207
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,1,o_proj,4096,4096,16,32.0,2.0,3.1605387453183464,1.9280493438124435,3.5317941331338703,2.3674304582426617,0.6703194945686054
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,1,q_proj,4096,4096,16,32.0,2.0,3.4024022557283993,1.6513375515347612,3.24360987240853,1.8129273443142169,0.55892274830451
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,1,up_proj,14336,4096,16,32.0,2.0,3.5918293554706504,4.191769992760008,8.844562196285464,6.073636079016061,0.6867085045279985
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,1,v_proj,1024,4096,16,32.0,2.0,3.3998464333865273,0.7864597182904229,1.570183664339574,0.8683843310343408,0.553046341492533
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,2,down_proj,4096,14336,16,32.0,2.0,5.391635181572944,2.1095692761542315,7.9527474057987,6.462359898327091,0.8125946378750944
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,2,gate_proj,14336,4096,16,32.0,2.0,3.593829140970299,4.130626087616386,9.919887684547431,7.935179840474083,0.7999263794926832
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,2,k_proj,1024,4096,16,32.0,2.0,3.2799631307868826,0.946579059832323,1.7668565382908394,0.9466495626137312,0.5357817921818759
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,2,o_proj,4096,4096,16,32.0,2.0,3.143905151380048,1.8448653984105554,3.431976637440372,2.385314775357123,0.6950265189264611
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,2,q_proj,4096,4096,16,32.0,2.0,3.3185564953410136,1.9311175841337491,3.43048319292719,1.4536065938013747,0.4237323175925633
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,2,up_proj,14336,4096,16,32.0,2.0,3.5481392072134708,4.1562108390100745,8.644401586130376,5.831391104542659,0.6745858630514009
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,2,v_proj,1024,4096,16,32.0,2.0,3.3348743052914047,0.7909444224487132,1.564671422894607,0.9685970384126714,0.6190418155786271
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,3,down_proj,4096,14336,16,32.0,2.0,5.519457908482638,2.052709139876915,7.330030752639226,5.488226345432305,0.7487316944006316
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,3,gate_proj,14336,4096,16,32.0,2.0,3.5764493962712858,4.156463272321675,10.275629225878959,8.266762930996565,0.8045018703260424
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,3,k_proj,1024,4096,16,32.0,2.0,3.3568164002012804,0.9334676293575247,1.8137966923651376,1.069170201475591,0.5894652945261603
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,3,o_proj,4096,4096,16,32.0,2.0,3.245950793805849,1.9553479699345924,3.6487300791196033,2.299277065398422,0.6301581688808318
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,3,q_proj,4096,4096,16,32.0,2.0,3.296582693932875,1.8928222674881119,3.3223596660542065,1.4882241171572408,0.4479419047741833
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,3,up_proj,14336,4096,16,32.0,2.0,3.4429157912579473,4.0079229317377285,8.017005178659575,5.3682821998687515,0.6696119162001485
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,3,v_proj,1024,4096,16,32.0,2.0,3.3180730441353026,0.8143804132073716,1.609867543099767,1.0330880507452238,0.6417223921143437
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,4,down_proj,4096,14336,16,32.0,2.0,5.338154219208131,1.999831206436142,6.874995962352789,5.319901461939254,0.7738043034600788
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,4,gate_proj,14336,4096,16,32.0,2.0,3.6120292814763273,4.186125087543868,10.057672998487089,7.858842870692203,0.7813778467319785
