ptype_a,profile_a,ptype_b,profile_b,frobenius_inner_product,cosine_similarity,frobenius_distance
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,7239.538529276848,1.0,0.0
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,128.24988276103977,0.017409085287603602,120.33042571249734
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,68.25605188286863,0.017298937877875894,96.19507447179993
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,3,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,49.95696655631764,0.015794925076862223,92.31157826279846
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,4,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,100.91217074147426,0.018680392570236033,105.20757828431911
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,5,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,41.52298527897801,0.016062566429491457,89.88640757902024
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,6,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,93.63243629550561,0.018973957753199922,102.05900574474526
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,3.617063732512179,0.012248677060295326,85.11374655673927
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,8,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,114.68705739057623,0.013782413439987,128.74306627267003
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,46.75618709894479,0.004175841156477658,156.4074585313264
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,10,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,41.51300968034775,0.00400387631863739,148.34244101014235
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,11,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,110.38899013295304,0.01768494394658174,111.35812172360035
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,12,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,94.76513968361542,0.01625313840902753,108.37819342173852
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,13,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,69.56820407044142,0.016450295211045005,97.83036101251663
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,14,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,81.36055126832798,0.017507020255161355,100.29998210480153
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,39.20584117178805,0.01739316243247509,88.67333019882436
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,16,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,78.09736971813254,0.019808705640888317,96.07513332142231
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,17,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,113.09211272303946,0.016608406420587144,115.83626383609807
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,32.25279854162363,0.01761404662429202,87.39660084932554
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,19,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,42.4655209127377,0.015368819258206328,90.60458656902513
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,20,Openness high; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,75.27408884838223,0.0184788772627797,96.85590387724706
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,21,Openness high; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,51.56019580573775,0.018424541324900148,90.65408458590089
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,25.69411248783581,0.015084662771685527,87.11435601160908
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,3.5491428288514726,0.011588893903137807,85.11989004638927
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,24,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,113.45322260353714,0.017174219568573557,114.19531492055124
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,25,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,53.79736482503358,0.00580773332330606,137.78284196853198
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,26,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,84.43840149522293,0.017181770395487968,102.01332010712636
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,27,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,56.049144317919854,0.017824259199320187,92.15906745877251
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,28,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,93.39487104245927,0.018130757891318034,103.52775393341167
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,29,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,84.03584707784466,0.017051847425322203,102.10942454571506
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,30,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,94.3554887319915,0.018168587613267076,103.80894932755518
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,31,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,78.58168787253089,0.014083057453469506,106.69143818765133
1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,128.24988276103977,0.017409085287603602,120.33042571249734
1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,7496.372588396072,1.0,0.0
1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,63.082943358574994,0.015711588057383152,97.57393416688161
1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,3,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,55.47440077736974,0.017236297848720782,93.63346982807957
1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,4,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,86.69976469594985,0.015772125676599195,106.55464982656274
1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,5,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,42.011360728763975,0.015970664104340393,91.29854092854606
1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,6,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,77.22007278667297,0.015377710196255931,103.46834994210953
1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,3.3445503811963135,0.011130139965017442,86.61252183574095
