ptype,profile,neighbor_rank,neighbor_ptype,neighbor_profile,distance,cosine
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,85.11374655673927,0.012248677060295326
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,2,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,85.11989004638927,0.011588893903137807
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,87.11435601160908,0.015084662771685527
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,87.39660084932554,0.01761404662429202
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,88.67333019882436,0.01739316243247509
1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,86.61252183574095,0.011130139965017442
1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,2,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,86.61708144399859,0.01092486996830226
1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,88.59564361107263,0.01383080157553497
1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,88.86942341657402,0.016565153392463294
1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,90.10080270306075,0.017449867600470296
2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,46.42452685512299,0.022599891312893187
2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,2,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,46.43275970201547,0.02222761086221255
2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,50.096473216704695,0.022389343224417983
2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,50.62731506843222,0.02528814291136755
2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,52.80662459798164,0.025949453394333223
3,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,1,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,37.26785442914647,0.021918699995614785
3,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,2,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,37.26927086098208,0.018795677314177067
3,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,41.78789233946804,0.02441391414370705
3,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,42.40423573223485,0.029261316896795057
3,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,45.023244361407954,0.02870839917516622
4,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,63.52016409927651,0.018503593230734406
4,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,2,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,63.53176544876349,0.01660793067345841
4,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,66.21648968919432,0.018512056290740903
4,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,66.58877977359859,0.02195214556326166
4,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,68.24982836523989,0.022210205770941426
5,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,1,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,30.47573801050978,0.033187535329888766
5,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,2,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,30.492100546402895,0.025373029134938857
