ptype,profile,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,4.7808730014182625,-5.999048049492357,6.622899632092907,-9.179764562067575,31.810815781752275,-74.1319806105503,7.662604043106721,-6.9958437435564775,3.767384605592963,-1.8120400230367526
1,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,4.841596427511522,-6.207021364133507,7.053754970009981,-10.262762237266005,-78.20143990335366,-25.433887718251206,5.963679231477118,-6.153656076482687,3.4681370984239455,-1.7008930811462202
2,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,3.1329267521528337,-3.4469102913304046,3.1096678475611355,-2.92236971113555,1.5166251489361104,2.9428779582321254,-2.1271607486058826,3.112803514940447,-3.021185328574079,2.2252791562304868
3,Openness low; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,2.9426349251241524,-3.2149894489046864,2.772774350145469,-2.699345946332733,1.202000724012551,2.5381448868581975,-1.8113548705480575,2.815179635104131,-2.6002981093820465,1.9253338948288596
4,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,3.5994053157422607,-4.128627937310292,3.9522825238539134,-3.7208841487602604,2.352322307804237,4.3386577556420995,-3.4949579185177906,5.616228237260688,-6.427105142655446,8.368327629676896
5,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,2.85783560310197,-3.0843544585010476,2.64588272837619,-2.572050779878064,1.1993662418962803,2.413669723259596,-1.7268633599556076,2.547262831237167,-2.3861404296139845,1.6721411928343979
6,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,3.418239391582684,-3.8500570620857646,3.6032706981248963,-3.435993019309497,2.0617616971951667,3.696689509705923,-2.7652053609513896,4.1836171813067535,-4.302370502298997,4.264390365877631
7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,2.5952770790811472,-2.744841949540353,2.2497045417610195,-2.360756602656245,1.0985818818484807,2.1904367600990193,-1.5110695522173805,2.246652929376045,-2.079936449352413,1.4317910991776526
8,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,6.132861811976946,-8.612239257708382,14.062347574662132,93.00778259611953,-2.9923252424348035,-4.823719835079083,2.299699280665818,-2.6923803384160356,1.740000592231169,-0.93900351754765
9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,-127.11175767570873,13.064263775448918,-3.8615595944146492,2.418435816203671,-0.7036592757965585,-1.3073470736534079,0.7422741666961302,-0.9775949292306295,0.7139576154671428,-0.4297224866891191
10,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,18.82280454107035,116.6939138569278,-7.129881471001505,3.5929118782216554,-1.0107729478641718,-1.7760417839827702,1.0012965997257681,-1.2557645857357256,0.9580032873654046,-0.5546143458671544
11,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,3.952723465862852,-4.734738513851648,4.793604217235591,-4.906094617759695,3.6085848804973244,7.535275163852244,-7.673274938215709,20.125442625262107,66.28414146893046,-6.348655252610729
12,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,3.7806481924761206,-4.396947115284032,4.266219084156184,-4.2827450892810885,2.7604274698717446,5.622649455784326,-4.775262932919433,9.145195566590548,-14.93402009617902,-62.158266423960455
13,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,3.190325766101841,-3.55981228805116,3.1666462581259385,-3.0312063732714805,1.541406063646459,3.0541416133416943,-2.1996741453766413,3.4649471999423933,-3.385286287701902,2.6049959303164343
