mapping_id,position_order_high_to_low_weight,polarity_inverted,is_intended_mapping,binary_distance_max_abs_change_vs_intended,row_continuous_distance_max_abs_change_vs_intended,unique_continuous_distance_max_abs_change_vs_intended,activation_binary_pearson_median,activation_binary_spearman_median,activation_conditions
positions=OCEAN;polarity=high_is_1,OCEAN,False,True,0.0,0.0,0.0,-0.1164417087902701,-0.05797710356524484,192
positions=OCEAN;polarity=inverted,OCEAN,True,False,0.0,1.4210854715202004e-14,0.0,-0.1164417087902701,-0.05797710356524484,192
positions=OCENA;polarity=high_is_1,OCENA,False,False,0.0,0.0,0.0,-0.1164417087902701,-0.05797710356524484,192
positions=OCENA;polarity=inverted,OCENA,True,False,0.0,1.4210854715202004e-14,0.0,-0.1164417087902701,-0.05797710356524484,192
positions=OCAEN;polarity=high_is_1,OCAEN,False,False,0.0,1.4210854715202004e-14,1.4210854715202004e-14,-0.1164417087902701,-0.05797710356524484,192
positions=OCAEN;polarity=inverted,OCAEN,True,False,0.0,1.4210854715202004e-14,0.0,-0.1164417087902701,-0.05797710356524484,192
positions=OCANE;polarity=high_is_1,OCANE,False,False,0.0,1.4210854715202004e-14,1.4210854715202004e-14,-0.1164417087902701,-0.05797710356524484,192
positions=OCANE;polarity=inverted,OCANE,True,False,0.0,1.4210854715202004e-14,1.4210854715202004e-14,-0.1164417087902701,-0.05797710356524484,192
positions=OCNEA;polarity=high_is_1,OCNEA,False,False,0.0,1.4210854715202004e-14,0.0,-0.1164417087902701,-0.05797710356524484,192
positions=OCNEA;polarity=inverted,OCNEA,True,False,0.0,1.4210854715202004e-14,0.0,-0.1164417087902701,-0.05797710356524484,192
positions=OCNAE;polarity=high_is_1,OCNAE,False,False,0.0,1.4210854715202004e-14,0.0,-0.1164417087902701,-0.05797710356524484,192
positions=OCNAE;polarity=inverted,OCNAE,True,False,0.0,1.4210854715202004e-14,0.0,-0.1164417087902701,-0.05797710356524484,192
positions=OECAN;polarity=high_is_1,OECAN,False,False,0.0,1.4210854715202004e-14,1.4210854715202004e-14,-0.1164417087902701,-0.05797710356524484,192
positions=OECAN;polarity=inverted,OECAN,True,False,0.0,1.4210854715202004e-14,1.4210854715202004e-14,-0.1164417087902701,-0.05797710356524484,192
positions=OECNA;polarity=high_is_1,OECNA,False,False,0.0,1.4210854715202004e-14,1.4210854715202004e-14,-0.1164417087902701,-0.05797710356524484,192
positions=OECNA;polarity=inverted,OECNA,True,False,0.0,1.4210854715202004e-14,1.4210854715202004e-14,-0.1164417087902701,-0.05797710356524484,192
positions=OEACN;polarity=high_is_1,OEACN,False,False,0.0,1.4210854715202004e-14,1.4210854715202004e-14,-0.1164417087902701,-0.05797710356524484,192
positions=OEACN;polarity=inverted,OEACN,True,False,0.0,1.4210854715202004e-14,0.0,-0.1164417087902701,-0.05797710356524484,192
positions=OEANC;polarity=high_is_1,OEANC,False,False,0.0,1.4210854715202004e-14,1.4210854715202004e-14,-0.1164417087902701,-0.05797710356524484,192
positions=OEANC;polarity=inverted,OEANC,True,False,0.0,1.4210854715202004e-14,0.0,-0.1164417087902701,-0.05797710356524484,192
positions=OENCA;polarity=high_is_1,OENCA,False,False,0.0,1.4210854715202004e-14,0.0,-0.1164417087902701,-0.05797710356524484,192
positions=OENCA;polarity=inverted,OENCA,True,False,0.0,1.4210854715202004e-14,0.0,-0.1164417087902701,-0.05797710356524484,192
