mapping_id,position_order_high_to_low_weight,polarity_inverted,is_intended_mapping,behavioral_interface,behavioral_binary_correlation,behavioral_target_directed_count_of_20,behavioral_hamming_distance_of_20,activation_binary_pearson_median,activation_binary_spearman_median
positions=OCEAN;polarity=high_is_1,OCEAN,False,True,A_label_rotation,-0.1230897208864285,11,9,-0.1164417087902701,-0.05797710356524484
positions=OCEAN;polarity=high_is_1,OCEAN,False,True,B_context_calibrated_labels,0.1452207886105979,8,9,-0.1164417087902701,-0.05797710356524484
positions=OCEAN;polarity=high_is_1,OCEAN,False,True,C_calibrated_verbal_anchors,-0.024006026851890322,13,10,-0.1164417087902701,-0.05797710356524484
positions=OCEAN;polarity=inverted,OCEAN,True,False,A_label_rotation,0.1230897208864285,9,11,-0.1164417087902701,-0.05797710356524484
positions=OCEAN;polarity=inverted,OCEAN,True,False,B_context_calibrated_labels,-0.14522078861059792,12,11,-0.1164417087902701,-0.05797710356524484
positions=OCEAN;polarity=inverted,OCEAN,True,False,C_calibrated_verbal_anchors,0.024006026851890322,7,10,-0.1164417087902701,-0.05797710356524484
positions=OCENA;polarity=high_is_1,OCENA,False,False,A_label_rotation,0.31154204854071865,13,7,-0.1164417087902701,-0.05797710356524484
positions=OCENA;polarity=high_is_1,OCENA,False,False,B_context_calibrated_labels,0.0935411835799947,6,11,-0.1164417087902701,-0.05797710356524484
positions=OCENA;polarity=high_is_1,OCENA,False,False,C_calibrated_verbal_anchors,-0.08106537709629696,11,10,-0.1164417087902701,-0.05797710356524484
positions=OCENA;polarity=inverted,OCENA,True,False,A_label_rotation,-0.3115420485407187,7,13,-0.1164417087902701,-0.05797710356524484
positions=OCENA;polarity=inverted,OCENA,True,False,B_context_calibrated_labels,-0.09354118357999476,14,9,-0.1164417087902701,-0.05797710356524484
positions=OCENA;polarity=inverted,OCENA,True,False,C_calibrated_verbal_anchors,0.08106537709629698,9,10,-0.1164417087902701,-0.05797710356524484
positions=OCAEN;polarity=high_is_1,OCAEN,False,False,A_label_rotation,-0.1230897208864285,11,9,-0.1164417087902701,-0.05797710356524484
positions=OCAEN;polarity=high_is_1,OCAEN,False,False,B_context_calibrated_labels,0.1452207886105979,8,9,-0.1164417087902701,-0.05797710356524484
positions=OCAEN;polarity=high_is_1,OCAEN,False,False,C_calibrated_verbal_anchors,-0.024006026851890322,13,10,-0.1164417087902701,-0.05797710356524484
