ptype,adapter,pilot_adapter,trait,training_row_count,mean,median,standard_deviation_population,percentile_05,percentile_25,percentile_75,percentile_95,minimum,maximum,row_weighted_centroid,unique_trait_tuple_weighted_centroid,row_centroid_recompute_abs_diff,unique_centroid_recompute_abs_diff
0,ptype_0,True,O,159137,24.550927816912473,23.0,13.455953749200638,4.0,15.0,34.0,48.0,0.0,50.0,24.550927816912473,22.582278481012654,0.0,3.552713678800501e-15
0,ptype_0,True,C,159137,27.695155746306643,30.0,15.846919286938725,8.0,14.0,45.0,50.0,4.0,50.0,27.695155746306643,27.9873417721519,0.0,0.0
0,ptype_0,True,E,159137,23.523259832722747,21.0,13.783485761898206,1.0,15.0,33.0,49.0,0.0,50.0,23.523259832722747,24.139240506329113,0.0,0.0
0,ptype_0,True,A,159137,21.73083569503007,18.0,15.190031413326322,0.0,10.0,33.0,46.0,0.0,50.0,21.73083569503007,19.455696202531644,0.0,0.0
0,ptype_0,True,N,159137,23.497037144095966,25.0,16.63274561532519,1.0,8.0,39.0,50.0,0.0,50.0,23.49703714409597,25.72151898734177,3.552713678800501e-15,0.0
1,ptype_1,False,O,181124,17.416002296769065,17.0,11.428840705640672,4.0,9.0,20.0,46.0,0.0,50.0,17.416002296769065,20.13157894736842,0.0,0.0
1,ptype_1,False,C,181124,26.62415803537908,28.0,16.89504423426235,7.0,9.0,45.0,50.0,0.0,50.0,26.62415803537908,28.13157894736842,0.0,0.0
1,ptype_1,False,E,181124,23.77359709370376,18.0,14.948214329355393,1.0,11.0,42.0,46.0,0.0,50.0,23.77359709370376,20.026315789473685,0.0,0.0
1,ptype_1,False,A,181124,14.112585852785937,10.0,11.01590631103914,1.0,6.0,22.0,37.0,0.0,50.0,14.112585852785935,15.491228070175438,1.7763568394002505e-15,0.0
1,ptype_1,False,N,181124,82.72053399880744,84.0,10.055931124925594,64.0,75.0,90.0,98.0,52.0,99.0,82.72053399880744,81.3157894736842,0.0,0.0
2,ptype_2,False,O,54646,15.407806609815905,7.0,14.77563850662844,0.0,7.0,21.0,48.0,0.0,50.0,15.407806609815903,21.23076923076923,1.7763568394002505e-15,0.0
2,ptype_2,False,C,54646,39.00761263404458,38.0,9.50946805415094,10.0,37.0,45.0,50.0,8.0,50.0,39.00761263404458,35.34615384615385,0.0,0.0
2,ptype_2,False,E,54646,26.312209493833034,35.0,15.55718930389354,9.0,9.0,43.0,46.0,1.0,50.0,26.31220949383303,23.53846153846154,3.552713678800501e-15,0.0
2,ptype_2,False,A,54646,81.1944332613549,80.0,8.881759311961146,76.0,77.0,82.0,99.0,51.0,99.0,81.1944332613549,82.38461538461539,0.0,0.0
2,ptype_2,False,N,54646,10.69221900962559,12.0,8.05036713905071,3.0,3.0,13.0,19.0,0.0,50.0,10.69221900962559,17.03846153846154,0.0,0.0
3,ptype_3,False,O,36335,8.36642355855236,8.0,4.0121236278302,6.0,8.0,8.0,8.0,0.0,35.0,8.36642355855236,16.6875,0.0,0.0
