ptype,adapter,pilot_adapter,trait,training_row_count,mean,median,standard_deviation_population,percentile_05,percentile_25,percentile_75,percentile_95,minimum,maximum,row_weighted_centroid,unique_trait_tuple_weighted_centroid,row_centroid_recompute_abs_diff,unique_centroid_recompute_abs_diff
0,ptype_0,True,O,159137,24.550927816912473,23.0,13.455953749200638,4.0,15.0,34.0,48.0,0.0,50.0,24.550927816912473,22.582278481012654,0.0,3.552713678800501e-15
0,ptype_0,True,C,159137,27.695155746306643,30.0,15.846919286938725,8.0,14.0,45.0,50.0,4.0,50.0,27.695155746306643,27.9873417721519,0.0,0.0
0,ptype_0,True,E,159137,23.523259832722747,21.0,13.783485761898206,1.0,15.0,33.0,49.0,0.0,50.0,23.523259832722747,24.139240506329113,0.0,0.0
0,ptype_0,True,A,159137,21.73083569503007,18.0,15.190031413326322,0.0,10.0,33.0,46.0,0.0,50.0,21.73083569503007,19.455696202531644,0.0,0.0
0,ptype_0,True,N,159137,23.497037144095966,25.0,16.63274561532519,1.0,8.0,39.0,50.0,0.0,50.0,23.49703714409597,25.72151898734177,3.552713678800501e-15,0.0
9,ptype_9,True,O,345069,19.219579272551286,12.0,16.977095668028788,1.0,3.0,38.0,50.0,0.0,50.0,19.21957927255129,21.126666666666665,3.552713678800501e-15,0.0
9,ptype_9,True,C,345069,76.64039655836949,75.0,13.16490914390111,54.0,61.0,89.0,95.0,51.0,98.0,76.64039655836949,77.89666666666666,0.0,0.0
9,ptype_9,True,E,345069,12.247759143823409,9.0,13.429170114718856,1.0,1.0,15.0,46.0,0.0,50.0,12.247759143823409,16.26,0.0,0.0
9,ptype_9,True,A,345069,19.42420211609852,18.0,16.29966047233946,1.0,4.0,33.0,50.0,0.0,50.0,19.42420211609852,18.49,0.0,0.0
9,ptype_9,True,N,345069,84.59528384178236,90.0,12.060315175055525,61.0,72.0,94.0,98.0,52.0,99.0,84.59528384178236,84.40333333333334,0.0,0.0
23,ptype_23,True,O,486,83.5246913580247,91.0,13.215778363162963,54.0,79.0,91.0,91.0,54.0,91.0,83.5246913580247,70.2,0.0,0.0
23,ptype_23,True,C,486,14.006172839506172,12.0,3.4309717040984236,12.0,12.0,19.0,20.0,2.0,20.0,14.006172839506172,14.4,0.0,0.0
23,ptype_23,True,E,486,60.52057613168724,56.0,9.895471616644095,56.0,56.0,59.0,85.0,56.0,85.0,60.52057613168724,71.2,0.0,0.0
23,ptype_23,True,A,486,58.890946502057616,51.0,13.947522175078213,51.0,51.0,69.0,94.0,51.0,94.0,58.890946502057616,74.6,0.0,0.0
23,ptype_23,True,N,486,75.26748971193416,75.0,6.112664169229235,63.0,75.0,75.0,88.0,56.0,88.0,75.26748971193416,69.8,0.0,0.0
31,ptype_31,True,O,93178,68.91137392946833,67.0,13.399835190813826,53.0,57.0,85.0,85.0,51.5,98.0,68.91137392946833,70.38709677419355,0.0,0.0
31,ptype_31,True,C,93178,76.65535319496018,77.0,14.287946852485986,58.0,58.0,86.0,97.0,50.5,100.0,76.65535319496018,81.88709677419355,0.0,0.0
31,ptype_31,True,E,93178,76.05386464616112,68.0,16.39601218660274,53.0,61.0,98.0,98.0,52.0,98.0,76.05386464616112,70.64516129032258,0.0,0.0
31,ptype_31,True,A,93178,71.1614436884243,74.0,11.598172024494303,54.0,59.0,79.0,93.0,53.0,98.0,71.1614436884243,74.61290322580645,0.0,0.0
31,ptype_31,True,N,93178,67.46120865440339,67.0,8.787169522807455,55.0,62.0,71.0,86.0,54.0,99.0,67.46120865440339,72.95161290322581,0.0,0.0
