ptype,O_high,C_high,E_high,A_high,N_high,row_count,unique_trait_tuple_count,unique_trait_tuple_count_note,row_weighted_O_mean,row_weighted_O_median,row_weighted_O_std,row_weighted_C_mean,row_weighted_C_median,row_weighted_C_std,row_weighted_E_mean,row_weighted_E_median,row_weighted_E_std,row_weighted_A_mean,row_weighted_A_median,row_weighted_A_std,row_weighted_N_mean,row_weighted_N_median,row_weighted_N_std,unique_trait_tuple_weighted_O_mean,unique_trait_tuple_weighted_O_median,unique_trait_tuple_weighted_O_std,unique_trait_tuple_weighted_C_mean,unique_trait_tuple_weighted_C_median,unique_trait_tuple_weighted_C_std,unique_trait_tuple_weighted_E_mean,unique_trait_tuple_weighted_E_median,unique_trait_tuple_weighted_E_std,unique_trait_tuple_weighted_A_mean,unique_trait_tuple_weighted_A_median,unique_trait_tuple_weighted_A_std,unique_trait_tuple_weighted_N_mean,unique_trait_tuple_weighted_N_median,unique_trait_tuple_weighted_N_std,nominal_optimizer_steps,optimizer_step_count_status
0,0,0,0,0,0,159137,79,proxy count of unique O/C/E/A/N score tuples; not an author count,24.550927816912473,23.0,13.455953749200638,27.695155746306643,30.0,15.846919286938725,23.523259832722747,21.0,13.783485761898206,21.73083569503007,18.0,15.190031413326322,23.497037144095966,25.0,16.63274561532519,22.582278481012658,19.0,15.085920668075284,27.9873417721519,24.0,15.855752995692349,24.139240506329113,20.0,14.731121088942738,19.455696202531644,15.0,15.830428533469231,25.72151898734177,27.0,16.126035799416726,4974,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
1,0,0,0,0,1,181124,114,proxy count of unique O/C/E/A/N score tuples; not an author count,17.416002296769065,17.0,11.428840705640672,26.62415803537908,28.0,16.89504423426235,23.77359709370376,18.0,14.948214329355393,14.112585852785937,10.0,11.01590631103914,82.72053399880744,84.0,10.055931124925594,20.13157894736842,16.5,14.230873996347087,28.13157894736842,30.0,15.320845310089686,20.026315789473685,16.0,14.372525279776719,15.491228070175438,10.0,14.112483968281472,81.3157894736842,84.0,12.956279917052271,5661,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
2,0,0,0,1,0,54646,26,proxy count of unique O/C/E/A/N score tuples; not an author count,15.407806609815905,7.0,14.77563850662844,39.00761263404458,38.0,9.50946805415094,26.312209493833034,35.0,15.55718930389354,81.1944332613549,80.0,8.881759311961146,10.69221900962559,12.0,8.05036713905071,21.23076923076923,15.0,17.23437462280118,35.34615384615385,39.5,14.488569254873113,23.53846153846154,19.5,15.71924535581187,82.38461538461539,85.0,12.27905321793965,17.03846153846154,13.0,14.6798678710014,1708,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
3,0,0,0,1,1,36335,16,proxy count of unique O/C/E/A/N score tuples; not an author count,8.36642355855236,8.0,4.0121236278302,41.60476124948397,40.0,3.4659005562558978,25.986596945094263,39.0,15.18077705828528,84.68226228154671,97.0,16.57200385904605,80.65350213292969,73.0,9.524271850512827,16.6875,16.0,12.215352788601727,36.75,39.0,10.597759197113321,18.75,14.0,14.58380951603524,74.1875,74.0,13.04424561827935,80.9375,85.0,12.249840560186895,1136,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
4,0,0,1,0,0,86106,58,proxy count of unique O/C/E/A/N score tuples; not an author count,16.832764267298447,13.0,14.081732565134462,22.844459154995008,19.0,12.44642146212199,75.5349452999791,78.0,16.386084549519726,20.82147585534109,21.0,13.465674424060547,27.589726616031403,33.0,16.948472763359604,16.948275862068964,12.0,14.471639820570228,25.189655172413794,22.0,14.429922092833069,77.46551724137932,80.0,14.838458323630409,19.03448275862069,14.5,16.17359013441078,20.724137931034484,16.5,15.28442198093601,2691,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
5,0,0,1,0,1,26428,27,proxy count of unique O/C/E/A/N score tuples; not an author count,11.219275011351597,8.0,11.365843291323163,28.65623581050401,37.0,14.111541731774642,71.71462085666717,72.0,11.598796261356755,11.546163160284546,8.0,9.247723123176605,76.50889208415317,78.0,11.57777006759786,20.074074074074073,13.0,16.852136749728505,28.0,30.0,14.701977695131637,76.07407407407408,76.0,13.04671358058313,13.37037037037037,9.0,11.8763635416712,81.07407407407408,85.0,12.666450073954996,826,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
6,0,0,1,1,0,78856,35,proxy count of unique O/C/E/A/N score tuples; not an author count,15.763188596936187,12.0,10.874311780011228,29.406005884143248,35.0,14.368345359746764,84.28598965202394,86.0,10.068046648809677,76.06014761083495,75.0,10.35363490057382,21.40681749010855,18.0,13.921023970105317,13.4,10.0,12.007616630408267,32.27142857142857,35.0,14.67327154928933,82.58571428571429,88.0,13.611174880687305,76.9,75.0,12.206438582041153,16.17142857142857,12.0,13.464208033121878,2465,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
7,0,0,1,1,1,498,2,proxy count of unique O/C/E/A/N score tuples; not an author count,15.736947791164658,4.0,16.523838211451903,39.68273092369478,37.0,3.776877305474721,85.27510040160642,95.0,13.691180232345864,80.96385542168674,87.0,8.497973937318122,77.34136546184739,76.0,1.8884386527373604,21.5,21.5,17.5,41.0,41.0,4.0,80.5,80.5,14.5,78.0,78.0,9.0,78.0,78.0,2.0,16,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
8,0,1,0,0,0,197647,116,proxy count of unique O/C/E/A/N score tuples; not an author count,25.02686607942443,25.0,15.898220358929413,77.05902948185401,78.0,11.77712464216046,23.12154497665029,24.0,16.08449754455711,17.83762971358027,15.0,13.955442352053813,29.317910213663755,28.0,15.55386618629699,22.92241379310345,21.0,15.63878405079487,77.80172413793103,80.0,13.007438076085947,21.57758620689655,15.5,15.97743606274549,21.93103448275862,18.5,15.413118090596496,26.103448275862068,25.5,16.187148643687742,6177,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
9,0,1,0,0,1,345069,150,proxy count of unique O/C/E/A/N score tuples; not an author count,19.219579272551286,12.0,16.977095668028788,76.64039655836949,75.0,13.16490914390111,12.247759143823409,9.0,13.429170114718856,19.42420211609852,18.0,16.29966047233946,84.59528384178236,90.0,12.060315175055525,21.126666666666665,19.0,15.747718000466678,77.89666666666666,80.0,12.18432006948092,16.26,10.5,15.213340636866493,18.49,15.5,14.805682467665358,84.40333333333334,87.0,12.622954839849855,10784,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
10,0,1,0,1,0,270927,79,proxy count of unique O/C/E/A/N score tuples; not an author count,19.418215976997494,17.0,13.139199714470545,79.28441978835627,85.0,14.398233738952488,20.227972848774762,16.0,13.605191091221668,81.84609507358071,85.0,14.439745091544413,21.988232992651156,17.0,14.706798093005101,19.974683544303797,17.0,16.34127699295913,80.4493670886076,85.0,13.325191460070075,18.734177215189874,15.0,15.19469332812227,79.32911392405063,82.0,14.202621900026859,22.632911392405063,21.0,16.071971998757885,8467,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
11,0,1,0,1,1,123675,58,proxy count of unique O/C/E/A/N score tuples; not an author count,21.9347321609056,17.0,14.827486415781012,75.82892257934101,80.0,13.350267902707216,19.004463311097634,7.0,17.28421369768901,64.7212694562361,58.0,13.757246094280939,76.5674388518294,87.0,15.700235237314919,24.551724137931036,25.5,15.671380034947854,80.74137931034483,83.5,12.413230351229103,18.74137931034483,14.0,16.471040777813634,74.3103448275862,74.5,14.17648234243008,75.96551724137932,80.0,14.661661849215362,3865,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
12,0,1,1,0,0,102199,74,proxy count of unique O/C/E/A/N score tuples; not an author count,16.272610299513694,7.0,17.80904469430933,80.26742433879001,84.0,11.89503933879675,79.44265599467705,85.0,13.540991995649108,15.521976731670565,10.0,14.629504562502115,17.866794195637922,16.0,15.202321593536585,16.493243243243242,10.0,15.12258317595925,78.27702702702703,80.0,13.188637075838749,77.0945945945946,80.0,13.7567368448855,22.16891891891892,20.0,14.772206606341955,19.18243243243243,13.5,16.71412542366088,3194,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
13,0,1,1,0,1,64344,44,proxy count of unique O/C/E/A/N score tuples; not an author count,23.425727340544572,21.0,15.878762632648936,74.003714410046,74.0,9.063688163337156,77.56667288325252,75.0,12.28880771514665,21.961736914086785,18.0,13.456509279572137,75.90423349496457,78.0,14.398301156616714,21.363636363636363,19.5,16.471864316147908,78.86363636363636,75.5,13.315389095961843,73.54545454545455,69.5,13.513384855317852,20.636363636363637,18.0,15.245104891095234,78.5909090909091,80.0,12.821002268682184,2011,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
14,0,1,1,1,0,67423,52,proxy count of unique O/C/E/A/N score tuples; not an author count,29.03842160687006,27.0,18.519911297540357,83.73101167257464,92.0,11.73609266150251,73.32320573098201,75.0,13.428113575544645,69.48929890393485,62.0,13.786497542361849,24.752399032970946,29.0,16.03198258727601,19.721153846153847,14.0,17.127467105146334,83.3076923076923,88.5,13.236805420926883,78.9326923076923,82.5,13.660030425039972,78.36538461538461,82.0,14.286597869969773,16.884615384615383,10.0,15.740264202349442,2107,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
15,0,1,1,1,1,19430,14,proxy count of unique O/C/E/A/N score tuples; not an author count,15.049202264539373,24.0,15.012999963944614,81.93216675244467,86.0,13.25830437435934,87.1385486361297,94.0,14.688957320649445,70.14889346371591,72.0,14.08677294348754,66.28255275347401,63.0,8.304469852173133,21.5,18.0,17.015749007484633,86.5,89.0,10.828203913853857,79.0,84.0,14.692077554149476,69.14285714285714,61.0,15.24025282344256,72.0,70.5,12.380860805522138,608,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
16,1,0,0,0,0,60871,29,proxy count of unique O/C/E/A/N score tuples; not an author count,75.61224556849731,81.0,9.500123713929634,25.744607448538712,17.0,16.260728475543598,26.800709697557128,22.0,13.001794597971388,28.767311199093164,38.0,16.536033186671116,21.489576317129668,15.0,13.820099113051166,76.44827586206897,75.0,11.223700929042513,28.310344827586206,30.0,14.034694567579015,27.724137931034484,26.0,16.16700887551482,19.862068965517242,15.0,15.967043942793726,22.655172413793103,19.0,13.319096640354447,1903,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
17,1,0,0,0,1,125443,47,proxy count of unique O/C/E/A/N score tuples; not an author count,72.12002263976467,76.0,12.351780434750717,35.29052238865461,40.0,15.437444553416304,19.13264191704599,15.0,17.804043154322517,12.54656696667012,4.0,13.778257492421465,78.26405618488079,75.0,13.66910773580899,74.36170212765957,75.0,13.606046108983415,28.06382978723404,30.0,15.89514077403364,22.95744680851064,22.0,16.615754439954653,11.319148936170214,6.0,11.909421235698542,83.63829787234043,87.0,13.735224993184485,3921,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
18,1,0,0,1,0,16183,17,proxy count of unique O/C/E/A/N score tuples; not an author count,61.98467527652475,58.0,9.282690187175168,24.840635234505346,34.0,14.570864022785308,24.44478774022122,18.0,16.42397019978028,69.37539393190384,70.0,6.482725951610413,15.867329914107396,9.0,11.902418329542469,75.0,75.0,11.324102353725308,29.470588235294116,30.0,14.892231085797814,20.470588235294116,18.0,15.332079583665799,75.82352941176471,77.0,12.584936346178724,23.529411764705884,25.0,14.287459112427001,506,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
19,1,0,0,1,1,28097,7,proxy count of unique O/C/E/A/N score tuples; not an author count,75.62302025127238,70.0,7.547981622177242,41.86450510730683,42.0,5.894467534520678,23.690821084101504,28.0,7.575793395830583,58.774922589600315,57.0,3.6490946477812005,57.42605972167847,51.0,8.638724619525203,81.0,85.0,7.289914755527471,32.142857142857146,42.0,15.869364659427218,16.142857142857142,13.0,8.236305888799757,63.57142857142857,59.0,9.983660119803513,63.285714285714285,63.0,7.666518779999279,879,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
20,1,0,1,0,0,58662,30,proxy count of unique O/C/E/A/N score tuples; not an author count,77.83652108690464,83.0,10.565218839308935,22.36575636698374,26.0,16.273999898958312,74.96534383416862,79.0,11.303891255651815,14.050407418771949,15.0,10.645218817235031,35.86524496266748,44.0,15.434238117695857,74.55,75.5,14.215220715838358,25.233333333333334,23.5,16.171339530855885,75.8,79.0,13.105723940324701,16.566666666666666,14.5,13.11915478307281,29.466666666666665,29.5,15.878147107126686,1834,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
21,1,0,1,0,1,27804,19,proxy count of unique O/C/E/A/N score tuples; not an author count,75.15037404689973,85.0,12.971362010851275,46.12972953531866,50.0,8.464561057665023,73.10408574305855,85.0,14.436030039785209,17.407423392317654,5.0,16.769471499025634,85.22863616745792,85.0,9.782326568962867,78.73684210526316,79.0,12.413244646718269,30.0,30.0,16.134304740945122,76.47368421052632,80.0,12.00600034654879,19.42105263157895,17.0,15.072860900773682,76.89473684210526,82.0,13.810349806317477,869,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
22,1,0,1,1,0,15075,8,proxy count of unique O/C/E/A/N score tuples; not an author count,90.89426202321725,96.0,10.356771536585557,48.501426202321724,50.0,4.2385322355211885,92.54142620232173,96.0,8.473150959738106,88.95867330016584,94.0,9.62961591744341,22.443316749585406,22.0,7.758957009469383,78.625,75.5,14.473575059397039,42.75,44.5,6.887488656977955,75.375,73.0,16.085222255225446,76.75,78.0,9.48353836919533,20.0,13.5,14.343988287781052,472,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
23,1,0,1,1,1,486,5,proxy count of unique O/C/E/A/N score tuples; not an author count,83.5246913580247,91.0,13.215778363162963,14.006172839506172,12.0,3.4309717040984236,60.52057613168724,56.0,9.895471616644095,58.890946502057616,51.0,13.947522175078213,75.26748971193416,75.0,6.112664169229235,70.2,70.0,13.760813929415658,14.4,19.0,6.829348431585549,71.2,72.0,12.12270596855339,74.6,77.0,14.319217855735,69.8,67.0,10.979981785048643,16,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
24,1,1,0,0,0,120763,63,proxy count of unique O/C/E/A/N score tuples; not an author count,80.76031565959772,85.0,12.490685925436464,76.92666628023484,80.0,14.187795688723249,25.928566696753144,23.0,11.716294328777145,32.344923527901756,37.0,14.627696283637949,25.484651755918616,31.0,15.580503430977569,78.96825396825396,85.0,15.091223407514056,79.44444444444444,84.0,12.918275202795748,25.325396825396826,25.0,14.889316168099887,27.206349206349206,30.0,16.637268100451738,23.825396825396826,24.0,16.378983516476406,3774,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
25,1,1,0,0,1,273049,119,proxy count of unique O/C/E/A/N score tuples; not an author count,79.50859735798336,83.0,12.598818086182574,80.14530908371758,85.0,12.827915013259727,23.028344729334297,20.0,13.75454279815258,24.861028606587094,23.0,16.823008612311636,78.63768041633553,75.0,13.367227693491616,76.4327731092437,76.0,13.507533591978833,79.73949579831933,82.0,13.32604210053039,21.869747899159663,18.0,16.22044334441529,18.23949579831933,14.0,15.689054250501922,80.10504201680672,80.0,12.850444512074223,8533,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
26,1,1,0,1,0,82449,47,proxy count of unique O/C/E/A/N score tuples; not an author count,76.8765236691773,74.0,10.247193527364255,85.88472267704884,92.0,12.749077249646808,18.36714817644847,17.0,10.161070495134219,75.23640674841417,78.0,14.663022361286677,29.46008441582069,30.0,16.841393772872163,74.90425531914893,77.0,13.184306555108138,83.79787234042553,88.0,12.287625488836964,22.680851063829788,20.0,13.865779678193398,78.01063829787235,82.0,15.735340817929734,22.47872340425532,19.0,16.03817170259106,2577,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
27,1,1,0,1,1,38458,39,proxy count of unique O/C/E/A/N score tuples; not an author count,67.96553382911227,61.0,13.154220568930723,86.82424983098446,92.0,9.959057462418212,19.413321025534348,20.0,10.562967668459127,80.57122055229081,84.0,10.966618331902131,81.61416350304228,89.0,13.009342018248809,72.03846153846153,70.0,13.704006814116127,81.33333333333333,84.0,12.153575675882456,21.397435897435898,19.0,14.957280830272408,76.43589743589743,77.0,12.923433043526254,76.93589743589743,80.0,13.901752097275223,1202,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
28,1,1,1,0,0,77420,56,proxy count of unique O/C/E/A/N score tuples; not an author count,80.96582924308964,85.0,12.092555824607773,76.33529449754586,80.0,14.667437362331079,79.01000387496771,81.0,13.106271559748283,18.139104882459314,7.0,17.298366635191964,29.493341513820717,38.0,16.579912953050936,78.84821428571429,81.5,13.6211231846432,77.98214285714286,79.0,13.28162139336665,74.01785714285714,74.5,12.809373062929586,23.830357142857142,21.5,16.95194805117075,25.026785714285715,25.0,16.591849236807175,2420,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
29,1,1,1,0,1,85323,40,proxy count of unique O/C/E/A/N score tuples; not an author count,81.75263996812114,80.0,9.84662188531012,74.67519308978822,79.0,13.01115944395394,77.58519977028469,73.0,13.364593520808683,25.168289910106303,19.0,15.049734334391083,68.30242724704945,63.0,14.090402211093572,78.3625,80.0,13.06138751243527,79.05,82.0,14.277079533293914,73.425,72.0,14.529517369823404,21.4375,18.5,16.38260796546142,76.1125,73.5,15.125924558518728,2667,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
30,1,1,1,1,0,89461,47,proxy count of unique O/C/E/A/N score tuples; not an author count,72.86984272476275,73.0,12.724820407820133,76.72181173919361,83.0,13.637480387354202,74.35655760610769,71.0,11.170140581713571,67.80865405036832,60.0,13.496388711214497,20.106253004102346,21.0,13.253249652516335,75.43617021276596,79.0,15.049781585068326,80.86170212765957,84.0,13.037875319523588,77.5,83.0,13.478509293165823,74.54255319148936,73.0,14.674782896372992,20.159574468085108,13.0,15.521469819280567,2796,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
31,1,1,1,1,1,93178,31,proxy count of unique O/C/E/A/N score tuples; not an author count,68.91137392946833,67.0,13.399835190813826,76.65535319496018,77.0,14.287946852485986,76.05386464616112,68.0,16.39601218660274,71.1614436884243,74.0,11.598172024494303,67.46120865440339,67.0,8.787169522807455,70.38709677419355,71.0,13.396984300411548,81.88709677419355,84.0,13.900400131987007,70.64516129032258,67.0,15.18179807255784,74.61290322580645,77.0,14.766303006321717,72.95161290322581,71.0,11.703566342806736,2912,"inferred from committed defaults (epochs=1, max_steps=-1, per_device_batch=8, gradient_accumulation=4, one device); exact only if the original run used defaults"
