ptype,row_count_recomputed,unique_trait_tuple_count_recomputed,O_high_recomputed,O_high_target,row_weighted_O_mean_abs_diff,row_weighted_O_median_abs_diff,row_weighted_O_std_abs_diff,unique_trait_tuple_weighted_O_mean_abs_diff,unique_trait_tuple_weighted_O_median_abs_diff,unique_trait_tuple_weighted_O_std_abs_diff,C_high_recomputed,C_high_target,row_weighted_C_mean_abs_diff,row_weighted_C_median_abs_diff,row_weighted_C_std_abs_diff,unique_trait_tuple_weighted_C_mean_abs_diff,unique_trait_tuple_weighted_C_median_abs_diff,unique_trait_tuple_weighted_C_std_abs_diff,E_high_recomputed,E_high_target,row_weighted_E_mean_abs_diff,row_weighted_E_median_abs_diff,row_weighted_E_std_abs_diff,unique_trait_tuple_weighted_E_mean_abs_diff,unique_trait_tuple_weighted_E_median_abs_diff,unique_trait_tuple_weighted_E_std_abs_diff,A_high_recomputed,A_high_target,row_weighted_A_mean_abs_diff,row_weighted_A_median_abs_diff,row_weighted_A_std_abs_diff,unique_trait_tuple_weighted_A_mean_abs_diff,unique_trait_tuple_weighted_A_median_abs_diff,unique_trait_tuple_weighted_A_std_abs_diff,N_high_recomputed,N_high_target,row_weighted_N_mean_abs_diff,row_weighted_N_median_abs_diff,row_weighted_N_std_abs_diff,unique_trait_tuple_weighted_N_mean_abs_diff,unique_trait_tuple_weighted_N_median_abs_diff,unique_trait_tuple_weighted_N_std_abs_diff,row_count_target,unique_trait_tuple_count_target,maximum_centroid_stat_abs_diff,exact_class_and_bits_match
0,159137,79,0,0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,0,0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0,0,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,159137,79,3.552713678800501e-15,True
1,181124,114,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0,0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,181124,114,1.7763568394002505e-15,True
2,54646,26,0,0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,54646,26,3.552713678800501e-15,True
3,36335,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.7763568394002505e-15,0.0,0.0,1.7763568394002505e-15,36335,16,1.7763568394002505e-15,True
4,86106,58,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,86106,58,1.7763568394002505e-15,True
5,26428,27,0,0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1,1,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0,0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,26428,27,1.7763568394002505e-15,True
6,78856,35,0,0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0,0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,78856,35,1.7763568394002505e-15,True
7,498,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,498,2,0.0,True
8,197647,116,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,197647,116,1.7763568394002505e-15,True
9,345069,150,0,0,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,345069,150,3.552713678800501e-15,True
10,270927,79,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0,0,3.552713678800501e-15,0.0,0.0,3.552713678800501e-15,0.0,0.0,1,1,0.0,0.0,1.7763568394002505e-15,0.0,0.0,1.7763568394002505e-15,0,0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,270927,79,3.552713678800501e-15,True
11,123675,58,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,1,1,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,123675,58,3.552713678800501e-15,True
12,102199,74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,1.7763568394002505e-15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,102199,74,1.7763568394002505e-15,True
