ptype,adapter,pilot_adapter,training_row_count,within_class_rms_distance_from_row_centroid,nearest_other_row_centroid_distance,mean_other_row_centroid_distance,within_rms_over_nearest_between,within_rms_exceeds_nearest_between
0,ptype_0,True,159137,33.608887261820904,49.862004957085226,83.70608403379957,0.674038023355601,False
1,ptype_1,False,181124,29.359529523338345,48.847124268348615,90.4783355469587,0.6010492933431987,False
2,ptype_2,False,54646,26.352792537751554,42.4658346016334,90.5749549861773,0.6205645734968771,False
3,ptype_3,False,36335,24.978163682523125,42.65301343226548,91.59183931500463,0.5856131061452281,False
4,ptype_4,False,86106,33.019501553141126,50.58655022889851,86.69881196515095,0.6527328193705947,False
5,ptype_5,False,26428,26.123078325191628,48.46119680066739,89.9921231003715,0.539051448370996,False
6,ptype_6,False,78856,26.96401736424085,56.65966720177147,90.62827157621035,0.47589438300473846,False
7,ptype_7,False,498,23.463422792890142,45.03577468803033,90.31713888277146,0.5209952078192247,False
8,ptype_8,False,197647,32.967290778310165,49.862004957085226,81.67168782525047,0.6611705808196873,False
9,ptype_9,True,345069,32.45010560373958,46.58276721309622,90.72034790242238,0.6966118061491332,False
10,ptype_10,False,270927,31.46180346108769,42.4658346016334,88.60745185338196,0.7408733104206446,False
11,ptype_11,False,123675,33.65393374090522,42.65301343226548,81.97977390652794,0.7890165555207225,False
12,ptype_12,False,102199,32.97188929374902,56.32311659970967,90.32800541703755,0.5854059804268534,False
13,ptype_13,False,64344,29.558231664189847,48.46119680066739,81.72478093112949,0.6099360646368268,False
14,ptype_14,False,67423,33.28857461337348,44.67439330380856,80.5878811232413,0.7451376986139301,False
15,ptype_15,False,19430,29.737848971562197,45.03577468803033,87.2496620792575,0.6603161415021903,False
16,ptype_16,False,60871,31.4347870511064,43.274752962282165,83.49766520158875,0.7264001501869841,False
17,ptype_17,False,125443,32.93250693023071,47.25997235267162,86.75487627479312,0.6968372026220414,False
18,ptype_18,False,16183,27.421132552466897,43.274752962282165,84.5226229912133,0.6336519720024024,False
19,ptype_19,False,28097,15.396521505230012,48.1236228967909,74.72833628193024,0.31993687462497183,False
20,ptype_20,False,58662,29.253739407021722,52.53040189844625,86.90213592531464,0.5568915970522395,False
21,ptype_21,False,27804,28.726522189146838,35.00344819133285,84.32133025031729,0.8206769239454462,False
22,ptype_22,False,15075,18.707032793881698,43.64337839781673,99.47799754643452,0.4286339298338444,False
23,ptype_23,True,486,22.721064261263304,50.13266425727932,87.70695150795892,0.4532187666041343,False
24,ptype_24,False,120763,30.84321513591677,44.810590961975436,81.02042268602158,0.6883019052814802,False
25,ptype_25,False,273049,31.211687928112877,47.25997235267162,85.15932030461134,0.6604254377298313,False
26,ptype_26,False,82449,29.48606566655401,44.810590961975436,87.1432265274587,0.6580155501982726,False
27,ptype_27,False,38458,25.94806982544418,50.165620375628286,90.17316678803535,0.5172480601485874,False
28,ptype_28,False,77420,33.27559137150378,39.508981917277744,85.08106629044705,0.8422285201166363,False
29,ptype_29,False,85323,29.49394057447804,35.00344819133285,81.88032769375955,0.8426010035714421,False
30,ptype_30,False,89461,28.817964899314337,43.64337839781673,81.3910982875874,0.6603055482239194,False
31,ptype_31,True,93178,29.3983361188347,47.66851965530995,78.75780526895643,0.6167243357128235,False
